iter	MAE
0	9.296993929
1	9.28904673
2	9.281258608
3	9.274324781
4	9.267370899
5	9.260644325
6	9.253504358
7	9.246844931
8	9.239804888
9	9.233264342
10	9.225763665
11	9.219448665
12	9.212959552
13	9.207234536
14	9.200900179
15	9.195790859
16	9.19006666
17	9.184509459
18	9.179151267
19	9.172744219
20	9.166819237
21	9.160432626
22	9.154240869
23	9.148427302
24	9.143222428
25	9.138299962
26	9.133484564
27	9.128434934
28	9.123586245
29	9.117762579
30	9.113162086
31	9.10810081
32	9.103199627
33	9.09836453
34	9.093246816
35	9.089081534
36	9.0842006
37	9.079876744
38	9.075345463
39	9.070852308
40	9.066284825
41	9.061711059
42	9.05733864
43	9.053234376
44	9.047994828
45	9.043252098
46	9.039507527
47	9.03508987
48	9.030766003
49	9.026246762
50	9.022657822
51	9.018534435
52	9.012484018
53	9.007817406
54	9.004242936
55	8.999808924
56	8.995957698
57	8.991968527
58	8.988715607
59	8.983746054
60	8.980514882
61	8.976353385
62	8.972881606
63	8.968323693
64	8.965284283
65	8.961940347
66	8.958504633
67	8.955303374
68	8.952096562
69	8.948353483
70	8.945114048
71	8.941404942
72	8.938213644
73	8.935340294
74	8.931377821
75	8.928118221
76	8.925005212
77	8.921588145
78	8.918486748
79	8.915447197
80	8.911892298
81	8.909033735
82	8.906220036
83	8.903674334
84	8.901474065
85	8.897642511
86	8.895015805
87	8.892058055
88	8.888376614
89	8.886233082
90	8.883496317
91	8.881131037
92	8.877693979
93	8.8747845
94	8.871481695
95	8.866801749
96	8.865117973
97	8.86263623
98	8.860476516
99	8.858485512
100	8.856280883
101	8.853874193
102	8.851507025
103	8.84835114
104	8.845877487
105	8.843535833
106	8.841410984
107	8.83897425
108	8.836664576
109	8.834972715
110	8.831471334
111	8.829727866
112	8.826421196
113	8.823197796
114	8.821343968
115	8.817953293
116	8.815536801
117	8.813011362
118	8.810749503
119	8.807951797
120	8.805016763
121	8.802470467
122	8.798868766
123	8.796969837
124	8.794278677
125	8.791190028
126	8.789058431
127	8.787124709
128	8.783721283
129	8.7809422
130	8.77845126
131	8.776787399
132	8.7743669
133	8.772106156
134	8.77021074
135	8.768412705
136	8.766140345
137	8.764256621
138	8.762435202
139	8.760341152
140	8.75694431
141	8.755183678
142	8.753696401
143	8.751215479
144	8.749102851
145	8.747485222
146	8.745511755
147	8.743414328
148	8.741758495
149	8.739223177
150	8.737288707
151	8.735405681
152	8.733471234
153	8.731483309
154	8.72976052
155	8.72802356
156	8.72593855
157	8.723901036
158	8.722335718
159	8.720669203
160	8.718151864
161	8.716376948
162	8.714761918
163	8.712909805
164	8.709329412
165	8.707549907
166	8.705724783
167	8.704246613
168	8.70262772
169	8.700952164
170	8.698999721
171	8.697166262
172	8.695765436
173	8.694083071
174	8.691897634
175	8.689975217
176	8.688320356
177	8.68697562
178	8.685425441
179	8.682665646
180	8.681297184
181	8.6798663
182	8.677202688
183	8.675580501
184	8.673329137
185	8.6711775
186	8.669197608
187	8.667860667
188	8.66654473
189	8.664504279
190	8.662107965
191	8.659803358
192	8.657373248
193	8.656187605
194	8.654082521
195	8.653267273
196	8.651600693
197	8.650402637
198	8.64849795
199	8.646758344
200	8.645429614
201	8.644205499
202	8.643220754
203	8.642378447
204	8.641086126
205	8.639713302
206	8.638402742
207	8.637275362
208	8.635486176
209	8.63419708
210	8.632158308
211	8.63013111
212	8.62878292
213	8.627524379
214	8.626080472
215	8.624558243
216	8.622825861
217	8.621260331
218	8.619906947
219	8.61833414
220	8.617341123
221	8.616265155
222	8.614665714
223	8.613073594
224	8.611582927
225	8.609942402
226	8.607064623
227	8.605801029
228	8.604522735
229	8.603205088
230	8.601743768
231	8.599055214
232	8.597103794
233	8.595341809
234	8.59426645
235	8.593337233
236	8.592251568
237	8.590450627
