iter	Passed	Remaining
0	2	5453
1	4	4585
2	6	4281
3	8	4108
4	10	4140
5	12	4076
6	14	4086
7	16	4058
8	18	4063
9	20	4046
10	22	4045
11	24	4020
12	26	3985
13	28	3962
14	30	3961
15	32	3941
16	34	3920
17	35	3899
18	37	3886
19	39	3876
20	41	3872
21	43	3859
22	45	3850
23	47	3848
24	49	3844
25	51	3834
26	53	3832
27	55	3832
28	57	3827
29	59	3815
30	61	3828
31	63	3835
32	65	3826
33	67	3829
34	69	3820
35	70	3811
36	72	3801
37	74	3797
38	76	3792
39	78	3790
40	80	3781
41	82	3779
42	84	3779
43	86	3771
44	88	3770
45	90	3766
46	92	3766
47	93	3761
48	95	3753
49	97	3756
50	99	3753
51	101	3749
52	103	3746
53	105	3743
54	107	3740
55	109	3738
56	111	3733
57	113	3730
58	115	3729
59	117	3724
60	118	3718
61	120	3713
62	122	3712
63	124	3705
64	126	3702
65	128	3700
66	130	3702
67	132	3698
68	134	3695
69	136	3693
70	138	3692
71	140	3697
72	142	3701
73	144	3702
74	146	3703
75	148	3708
76	151	3713
77	153	3718
78	156	3735
79	158	3739
80	160	3734
81	162	3732
82	164	3727
83	165	3722
84	167	3720
85	169	3717
86	171	3715
87	173	3712
88	175	3707
89	177	3707
90	179	3705
91	181	3701
92	183	3698
93	185	3694
94	187	3691
95	189	3688
96	190	3683
97	192	3681
98	194	3679
99	197	3682
100	198	3679
101	200	3676
102	202	3676
103	205	3677
104	206	3674
105	208	3670
106	210	3667
107	212	3667
108	215	3669
109	216	3666
110	218	3665
111	221	3667
112	223	3666
113	225	3667
114	227	3662
115	229	3660
116	231	3659
117	233	3657
118	235	3656
119	237	3657
120	239	3655
121	241	3655
122	243	3654
123	245	3652
124	247	3649
125	249	3649
126	251	3648
127	253	3648
128	255	3648
129	257	3646
130	259	3645
131	261	3644
132	264	3644
133	266	3644
134	268	3643
135	270	3644
136	272	3644
137	274	3644
138	276	3644
139	279	3645
140	281	3645
141	283	3644
142	285	3648
143	288	3650
144	290	3649
145	292	3648
146	294	3648
147	296	3646
148	298	3645
149	300	3644
150	302	3644
151	304	3644
152	306	3641
153	309	3642
154	311	3643
155	313	3641
156	315	3641
157	317	3642
158	319	3641
159	321	3639
160	324	3642
161	326	3641
162	328	3640
163	330	3638
164	332	3638
165	334	3637
166	337	3637
167	339	3636
168	341	3637
169	343	3636
170	345	3636
171	348	3636
172	350	3637
173	352	3635
174	354	3633
175	356	3632
176	358	3631
177	360	3629
178	362	3628
179	365	3629
180	367	3628
181	369	3627
182	371	3625
183	374	3628
184	376	3626
185	378	3625
186	380	3623
187	382	3624
188	384	3623
189	386	3623
190	388	3620
191	391	3621
192	393	3620
193	395	3620
194	398	3623
195	400	3623
196	402	3623
197	404	3622
198	407	3621
199	409	3620
200	411	3619
201	413	3618
202	415	3618
203	418	3616
204	420	3616
205	422	3617
206	424	3616
207	426	3615
208	429	3615
209	431	3616
210	433	3614
211	435	3612
212	437	3610
213	439	3608
214	441	3605
215	444	3603
216	446	3604
217	448	3604
218	450	3603
219	453	3602
220	455	3601
221	457	3600
222	459	3598
223	461	3596
224	464	3596
225	466	3594
226	468	3594
227	470	3591
228	472	3589
229	474	3586
230	476	3583
231	478	3582
232	480	3581
233	482	3580
234	485	3578
235	487	3577
236	489	3576
237	491	3574
238	493	3572
239	495	3571
240	498	3571
241	500	3569
242	502	3568
243	504	3567
244	506	3566
245	508	3564
246	511	3563
247	513	3562
248	515	3560
249	517	3558
250	519	3557
251	521	3555
252	524	3554
253	526	3554
254	528	3553
255	530	3551
256	532	3550
257	535	3548
258	537	3546
259	539	3545
260	541	3542
261	543	3543
262	545	3541
263	548	3539
264	550	3537
265	552	3537
266	554	3535
267	556	3534
268	558	3532
269	561	3530
270	563	3530
271	565	3529
272	567	3528
273	569	3525
274	572	3523
275	574	3521
276	576	3519
277	578	3517
278	580	3516
279	582	3515
280	585	3515
281	587	3513
282	589	3512
283	591	3511
284	593	3509
285	597	3513
286	599	3514
287	602	3517
288	604	3516
289	606	3514
290	609	3512
291	611	3510
292	613	3509
293	615	3507
294	617	3505
295	619	3503
296	621	3501
297	624	3500
298	626	3498
299	628	3496
300	630	3493
301	632	3492
302	634	3490
303	637	3489
304	639	3487
305	641	3485
306	643	3484
307	645	3482
308	647	3480
309	650	3479
310	652	3478
311	654	3476
312	656	3474
313	659	3473
314	661	3471
315	663	3469
316	665	3467
317	667	3465
318	669	3463
319	671	3461
320	673	3458
321	675	3456
322	677	3454
323	679	3451
324	681	3448
325	683	3447
326	686	3445
327	688	3443
328	690	3440
329	692	3439
330	694	3437
331	696	3436
332	699	3435
333	701	3434
334	703	3432
335	705	3430
336	707	3428
337	709	3425
338	712	3423
339	714	3421
340	716	3419
341	718	3417
342	720	3414
343	722	3412
344	724	3409
345	726	3407
346	728	3404
347	730	3403
348	732	3401
349	734	3398
350	736	3397
351	739	3394
352	741	3392
353	743	3389
354	745	3388
355	747	3386
356	749	3384
357	751	3382
358	753	3379
359	755	3377
360	757	3375
361	759	3373
362	762	3372
363	764	3370
364	766	3369
365	768	3367
366	770	3365
367	773	3363
368	775	3361
369	777	3359
370	779	3357
371	781	3355
372	783	3353
373	786	3352
374	788	3350
375	790	3348
376	792	3347
377	794	3345
378	797	3344
379	799	3341
380	801	3339
381	803	3337
382	805	3336
383	807	3334
384	810	3332
385	812	3330
386	814	3328
387	816	3326
388	819	3328
389	821	3326
390	823	3325
391	826	3324
392	828	3323
393	831	3322
394	833	3321
395	836	3322
396	838	3321
397	841	3320
398	843	3319
399	845	3318
400	848	3316
401	850	3315
402	852	3313
403	855	3312
404	857	3311
405	859	3310
406	862	3308
407	864	3307
408	866	3306
409	869	3304
410	871	3302
411	873	3301
412	876	3300
413	878	3299
414	880	3298
415	883	3297
416	885	3295
417	887	3293
418	889	3291
419	892	3290
420	894	3289
421	896	3287
422	899	3286
423	901	3284
424	903	3282
425	905	3280
426	908	3281
427	911	3280
428	913	3278
429	915	3278
430	918	3276
431	920	3274
432	922	3273
433	925	3271
434	927	3272
435	930	3271
436	932	3270
437	935	3269
438	937	3266
439	939	3265
440	942	3265
441	944	3263
442	946	3261
443	949	3260
444	951	3259
445	954	3257
446	956	3257
447	959	3256
448	961	3254
449	963	3253
450	966	3252
451	968	3250
452	970	3248
453	973	3247
454	975	3246
455	977	3244
456	980	3243
457	982	3241
458	984	3239
459	986	3237
460	989	3236
461	991	3234
462	993	3232
463	996	3231
464	998	3229
465	1000	3227
466	1002	3225
467	1005	3224
468	1007	3222
469	1010	3221
470	1012	3220
471	1014	3218
472	1017	3216
473	1019	3214
474	1021	3212
475	1023	3210
476	1026	3209
477	1028	3207
478	1030	3205
479	1032	3203
480	1034	3201
481	1037	3199
482	1039	3197
483	1041	3196
484	1044	3194
485	1046	3192
486	1048	3191
487	1051	3190
488	1053	3189
489	1055	3187
490	1058	3185
491	1060	3183
492	1062	3182
493	1065	3181
494	1067	3180
495	1071	3180
496	1073	3180
497	1076	3179
498	1079	3179
499	1081	3177
500	1083	3175
501	1086	3173
502	1088	3171
503	1090	3170
504	1092	3168
505	1095	3166
506	1097	3164
507	1099	3162
508	1102	3161
509	1104	3159
510	1106	3157
511	1108	3154
512	1110	3153
513	1113	3151
514	1115	3149
515	1118	3149
516	1120	3148
517	1123	3146
518	1125	3144
519	1127	3142
520	1129	3140
521	1132	3138
522	1134	3136
523	1136	3134
524	1139	3133
525	1141	3130
526	1143	3128
