sale_date,sale_hour,guests_count
2026-04-27,7,37
2026-04-27,8,58
2026-04-27,9,73
2026-04-27,10,67
2026-04-27,11,82
2026-04-27,12,128
2026-04-27,13,144
2026-04-27,14,135
2026-04-27,15,130
2026-04-27,16,122
2026-04-27,17,124
2026-04-27,18,126
2026-04-27,19,117
2026-04-27,20,103
2026-04-27,21,86
2026-04-27,22,76
2026-04-28,7,47
2026-04-28,8,78
2026-04-28,9,89
2026-04-28,10,77
2026-04-28,11,102
2026-04-28,12,159
2026-04-28,13,168
2026-04-28,14,150
2026-04-28,15,140
2026-04-28,16,128
2026-04-28,17,127
2026-04-28,18,138
2026-04-28,19,129
2026-04-28,20,111
2026-04-28,21,91
2026-04-28,22,73
2026-04-29,7,50
2026-04-29,8,82
2026-04-29,9,90
2026-04-29,10,83
2026-04-29,11,97
2026-04-29,12,156
2026-04-29,13,171
2026-04-29,14,149
2026-04-29,15,141
2026-04-29,16,128
2026-04-29,17,132
2026-04-29,18,148
2026-04-29,19,137
2026-04-29,20,115
2026-04-29,21,90
2026-04-29,22,76
2026-04-30,7,53
2026-04-30,8,82
2026-04-30,9,91
2026-04-30,10,79
2026-04-30,11,112
2026-04-30,12,163
2026-04-30,13,176
2026-04-30,14,159
2026-04-30,15,146
2026-04-30,16,130
2026-04-30,17,142
2026-04-30,18,145
2026-04-30,19,136
2026-04-30,20,121
2026-04-30,21,102
2026-04-30,22,84
2026-05-01,7,40
2026-05-01,8,59
2026-05-01,9,65
2026-05-01,10,59
2026-05-01,11,70
2026-05-01,12,115
2026-05-01,13,123
2026-05-01,14,115
2026-05-01,15,107
2026-05-01,16,103
2026-05-01,17,107
2026-05-01,18,113
2026-05-01,19,105
2026-05-01,20,94
2026-05-01,21,79
2026-05-01,22,65
2026-05-02,7,29
2026-05-02,8,44
2026-05-02,9,60
2026-05-02,10,64
2026-05-02,11,80
2026-05-02,12,107
2026-05-02,13,129
2026-05-02,14,126
2026-05-02,15,135
2026-05-02,16,135
2026-05-02,17,136
2026-05-02,18,131
2026-05-02,19,119
2026-05-02,20,105
2026-05-02,21,96
2026-05-02,22,97
2026-05-03,7,26
2026-05-03,8,37
2026-05-03,9,51
2026-05-03,10,54
2026-05-03,11,58
2026-05-03,12,79
2026-05-03,13,100
2026-05-03,14,111
2026-05-03,15,119
2026-05-03,16,122
2026-05-03,17,127
2026-05-03,18,124
2026-05-03,19,112
2026-05-03,20,101
2026-05-03,21,87
2026-05-03,22,89
