sale_date,sale_hour,guests_count
2026-04-27,7,242
2026-04-27,8,258
2026-04-27,9,274
2026-04-27,10,280
2026-04-27,11,294
2026-04-27,12,320
2026-04-27,13,136
2026-04-27,14,105
2026-04-27,15,83
2026-04-27,16,258
2026-04-27,17,274
2026-04-27,18,282
2026-04-27,19,290
2026-04-27,20,305
2026-04-27,21,131
2026-04-27,22,104
2026-04-28,7,261
2026-04-28,8,273
2026-04-28,9,279
2026-04-28,10,290
2026-04-28,11,317
2026-04-28,12,134
2026-04-28,13,104
2026-04-28,14,83
2026-04-28,15,258
2026-04-28,16,274
2026-04-28,17,279
2026-04-28,18,288
2026-04-28,19,314
2026-04-28,20,132
2026-04-28,21,102
2026-04-28,22,85
2026-04-29,7,276
2026-04-29,8,285
2026-04-29,9,292
2026-04-29,10,309
2026-04-29,11,133
2026-04-29,12,104
2026-04-29,13,84
2026-04-29,14,264
2026-04-29,15,272
2026-04-29,16,278
2026-04-29,17,289
2026-04-29,18,311
2026-04-29,19,131
2026-04-29,20,100
2026-04-29,21,81
2026-04-29,22,259
2026-04-30,7,281
2026-04-30,8,291
2026-04-30,9,317
2026-04-30,10,135
2026-04-30,11,105
2026-04-30,12,85
2026-04-30,13,265
2026-04-30,14,279
2026-04-30,15,284
2026-04-30,16,292
2026-04-30,17,307
2026-04-30,18,132
2026-04-30,19,103
2026-04-30,20,83
2026-04-30,21,261
2026-04-30,22,274
2026-05-01,7,290
2026-05-01,8,314
2026-05-01,9,133
2026-05-01,10,103
2026-05-01,11,84
2026-05-01,12,264
2026-05-01,13,281
2026-05-01,14,284
2026-05-01,15,291
2026-05-01,16,317
2026-05-01,17,134
2026-05-01,18,104
2026-05-01,19,85
2026-05-01,20,260
2026-05-01,21,277
2026-05-01,22,286
2026-05-02,7,309
2026-05-02,8,135
2026-05-02,9,105
2026-05-02,10,86
2026-05-02,11,268
2026-05-02,12,279
2026-05-02,13,285
2026-05-02,14,294
2026-05-02,15,314
2026-05-02,16,133
2026-05-02,17,102
2026-05-02,18,83
2026-05-02,19,260
2026-05-02,20,276
2026-05-02,21,281
2026-05-02,22,293
2026-05-03,7,135
2026-05-03,8,106
2026-05-03,9,87
2026-05-03,10,264
2026-05-03,11,284
2026-05-03,12,291
2026-05-03,13,299
2026-05-03,14,312
2026-05-03,15,135
2026-05-03,16,105
2026-05-03,17,85
2026-05-03,18,263
2026-05-03,19,274
2026-05-03,20,280
2026-05-03,21,291
2026-05-03,22,315
