ds,hour,station_key,guests_count,version,required,actual,diff,status
2026-04-06,7,BVR,66,будни/утр.,1,1,0,exact
2026-04-06,7,C,66,будни/утр.,2,2,0,exact
2026-04-06,7,FF,66,будни/утр.,1,1,0,exact
2026-04-06,7,K,66,будни/утр.,3,3,0,exact
2026-04-06,7,TS,66,будни/утр.,1,1,0,exact
2026-04-06,8,BVR,92,будни/утр.,1,1,0,exact
2026-04-06,8,C,92,будни/утр.,2,2,0,exact
2026-04-06,8,FF,92,будни/утр.,1,1,0,exact
2026-04-06,8,K,92,будни/утр.,5,5,0,exact
2026-04-06,8,TS,92,будни/утр.,1,1,0,exact
2026-04-06,9,BVR,97,будни/утр.,1,1,0,exact
2026-04-06,9,C,97,будни/утр.,2,2,0,exact
2026-04-06,9,FF,97,будни/утр.,1,1,0,exact
2026-04-06,9,K,97,будни/утр.,5,5,0,exact
2026-04-06,9,TS,97,будни/утр.,1,1,0,exact
2026-04-06,10,BVR,78,будни/осн.,1,1,0,exact
2026-04-06,10,C,78,будни/осн.,2,2,0,exact
2026-04-06,10,FF,78,будни/осн.,1,1,0,exact
2026-04-06,10,K,78,будни/осн.,5,5,0,exact
2026-04-06,10,TS,78,будни/осн.,1,1,0,exact
2026-04-06,11,BVR,108,будни/осн.,1,1,0,exact
2026-04-06,11,C,108,будни/осн.,3,3,0,exact
2026-04-06,11,FF,108,будни/осн.,1,1,0,exact
2026-04-06,11,K,108,будни/осн.,5,5,0,exact
2026-04-06,11,TS,108,будни/осн.,1,1,0,exact
2026-04-06,12,BVR,191,будни/осн.,1,1,0,exact
2026-04-06,12,C,191,будни/осн.,6,5,-1,under
2026-04-06,12,FF,191,будни/осн.,1,1,0,exact
2026-04-06,12,K,191,будни/осн.,7,7,0,exact
2026-04-06,12,TS,191,будни/осн.,1,1,0,exact
2026-04-06,13,BVR,189,будни/осн.,1,1,0,exact
2026-04-06,13,C,189,будни/осн.,5,5,0,exact
2026-04-06,13,FF,189,будни/осн.,1,1,0,exact
2026-04-06,13,K,189,будни/осн.,7,7,0,exact
2026-04-06,13,TS,189,будни/осн.,1,1,0,exact
2026-04-06,14,BVR,169,будни/осн.,1,1,0,exact
2026-04-06,14,C,169,будни/осн.,5,5,0,exact
2026-04-06,14,FF,169,будни/осн.,1,1,0,exact
2026-04-06,14,K,169,будни/осн.,7,7,0,exact
2026-04-06,14,TS,169,будни/осн.,1,1,0,exact
2026-04-06,15,BVR,145,будни/осн.,1,1,0,exact
2026-04-06,15,C,145,будни/осн.,4,4,0,exact
2026-04-06,15,FF,145,будни/осн.,1,1,0,exact
2026-04-06,15,K,145,будни/осн.,6,6,0,exact
2026-04-06,15,TS,145,будни/осн.,1,1,0,exact
2026-04-06,16,BVR,125,будни/осн.,1,1,0,exact
2026-04-06,16,C,125,будни/осн.,4,4,0,exact
2026-04-06,16,FF,125,будни/осн.,1,1,0,exact
2026-04-06,16,K,125,будни/осн.,5,5,0,exact
2026-04-06,16,TS,125,будни/осн.,1,1,0,exact
2026-04-06,17,BVR,136,будни/осн.,1,1,0,exact
2026-04-06,17,C,136,будни/осн.,4,4,0,exact
2026-04-06,17,FF,136,будни/осн.,1,1,0,exact
2026-04-06,17,K,136,будни/осн.,6,6,0,exact
2026-04-06,17,TS,136,будни/осн.,1,1,0,exact
2026-04-06,18,BVR,129,будни/осн.,1,1,0,exact
2026-04-06,18,C,129,будни/осн.,4,4,0,exact
2026-04-06,18,FF,129,будни/осн.,1,1,0,exact
2026-04-06,18,K,129,будни/осн.,5,5,0,exact
2026-04-06,18,TS,129,будни/осн.,1,1,0,exact
2026-04-06,19,BVR,108,будни/осн.,1,1,0,exact
2026-04-06,19,C,108,будни/осн.,3,3,0,exact
2026-04-06,19,FF,108,будни/осн.,1,1,0,exact
2026-04-06,19,K,108,будни/осн.,5,5,0,exact
2026-04-06,19,TS,108,будни/осн.,1,1,0,exact
2026-04-06,20,BVR,112,будни/осн.,1,1,0,exact
2026-04-06,20,C,112,будни/осн.,3,3,0,exact
2026-04-06,20,FF,112,будни/осн.,1,1,0,exact
2026-04-06,20,K,112,будни/осн.,5,5,0,exact
2026-04-06,20,TS,112,будни/осн.,1,1,0,exact
2026-04-06,21,BVR,82,будни/осн.,1,1,0,exact
2026-04-06,21,C,82,будни/осн.,2,2,0,exact
2026-04-06,21,FF,82,будни/осн.,1,1,0,exact
2026-04-06,21,K,82,будни/осн.,5,5,0,exact
2026-04-06,21,TS,82,будни/осн.,1,1,0,exact
2026-04-06,22,BVR,62,будни/осн.,1,1,0,exact
2026-04-06,22,C,62,будни/осн.,2,1,-1,under
2026-04-06,22,FF,62,будни/осн.,1,1,0,exact
2026-04-06,22,K,62,будни/осн.,4,4,0,exact
2026-04-06,22,TS,62,будни/осн.,1,1,0,exact
2026-04-07,7,BVR,53,будни/утр.,1,1,0,exact
2026-04-07,7,C,53,будни/утр.,2,2,0,exact
2026-04-07,7,FF,53,будни/утр.,1,1,0,exact
2026-04-07,7,K,53,будни/утр.,3,3,0,exact
2026-04-07,7,TS,53,будни/утр.,1,1,0,exact
2026-04-07,8,BVR,93,будни/утр.,1,1,0,exact
2026-04-07,8,C,93,будни/утр.,2,2,0,exact
2026-04-07,8,FF,93,будни/утр.,1,1,0,exact
2026-04-07,8,K,93,будни/утр.,5,5,0,exact
2026-04-07,8,TS,93,будни/утр.,1,1,0,exact
2026-04-07,9,BVR,92,будни/утр.,1,1,0,exact
2026-04-07,9,C,92,будни/утр.,2,2,0,exact
2026-04-07,9,FF,92,будни/утр.,1,1,0,exact
2026-04-07,9,K,92,будни/утр.,5,5,0,exact
2026-04-07,9,TS,92,будни/утр.,1,1,0,exact
2026-04-07,10,BVR,88,будни/осн.,1,1,0,exact
2026-04-07,10,C,88,будни/осн.,2,2,0,exact
2026-04-07,10,FF,88,будни/осн.,1,1,0,exact
2026-04-07,10,K,88,будни/осн.,5,5,0,exact
2026-04-07,10,TS,88,будни/осн.,1,1,0,exact
2026-04-07,11,BVR,119,будни/осн.,1,1,0,exact
2026-04-07,11,C,119,будни/осн.,3,3,0,exact
2026-04-07,11,FF,119,будни/осн.,1,1,0,exact
2026-04-07,11,K,119,будни/осн.,5,5,0,exact
2026-04-07,11,TS,119,будни/осн.,1,3,2,over
2026-04-07,12,BVR,198,будни/осн.,1,1,0,exact
2026-04-07,12,C,198,будни/осн.,6,6,0,exact
2026-04-07,12,FF,198,будни/осн.,1,1,0,exact
2026-04-07,12,K,198,будни/осн.,8,8,0,exact
2026-04-07,12,TS,198,будни/осн.,4,4,0,exact
2026-04-07,13,BVR,215,будни/осн.,1,1,0,exact
2026-04-07,13,C,215,будни/осн.,7,7,0,exact
2026-04-07,13,FF,215,будни/осн.,1,1,0,exact
2026-04-07,13,K,215,будни/осн.,9,8,-1,under
2026-04-07,13,TS,215,будни/осн.,4,4,0,exact
2026-04-07,14,BVR,166,будни/осн.,1,1,0,exact
2026-04-07,14,C,166,будни/осн.,5,5,0,exact
2026-04-07,14,FF,166,будни/осн.,1,1,0,exact
2026-04-07,14,K,166,будни/осн.,7,7,0,exact
2026-04-07,14,TS,166,будни/осн.,1,1,0,exact
2026-04-07,15,BVR,159,будни/осн.,1,1,0,exact
2026-04-07,15,C,159,будни/осн.,5,5,0,exact
2026-04-07,15,FF,159,будни/осн.,1,1,0,exact
2026-04-07,15,K,159,будни/осн.,7,7,0,exact
2026-04-07,15,TS,159,будни/осн.,1,1,0,exact
2026-04-07,16,BVR,143,будни/осн.,1,1,0,exact
2026-04-07,16,C,143,будни/осн.,4,4,0,exact
2026-04-07,16,FF,143,будни/осн.,1,1,0,exact
2026-04-07,16,K,143,будни/осн.,6,6,0,exact
2026-04-07,16,TS,143,будни/осн.,1,1,0,exact
2026-04-07,17,BVR,142,будни/осн.,1,1,0,exact
2026-04-07,17,C,142,будни/осн.,4,4,0,exact
2026-04-07,17,FF,142,будни/осн.,1,1,0,exact
2026-04-07,17,K,142,будни/осн.,6,6,0,exact
2026-04-07,17,TS,142,будни/осн.,1,1,0,exact
2026-04-07,18,BVR,155,будни/осн.,1,1,0,exact
2026-04-07,18,C,155,будни/осн.,4,4,0,exact
2026-04-07,18,FF,155,будни/осн.,1,1,0,exact
2026-04-07,18,K,155,будни/осн.,6,6,0,exact
2026-04-07,18,TS,155,будни/осн.,1,1,0,exact
2026-04-07,19,BVR,131,будни/осн.,1,1,0,exact
2026-04-07,19,C,131,будни/осн.,4,4,0,exact
2026-04-07,19,FF,131,будни/осн.,1,1,0,exact
2026-04-07,19,K,131,будни/осн.,5,5,0,exact
2026-04-07,19,TS,131,будни/осн.,1,1,0,exact
2026-04-07,20,BVR,106,будни/осн.,1,1,0,exact
2026-04-07,20,C,106,будни/осн.,3,3,0,exact
2026-04-07,20,FF,106,будни/осн.,1,1,0,exact
2026-04-07,20,K,106,будни/осн.,5,5,0,exact
2026-04-07,20,TS,106,будни/осн.,1,1,0,exact
2026-04-07,21,BVR,87,будни/осн.,1,1,0,exact
2026-04-07,21,C,87,будни/осн.,2,2,0,exact
2026-04-07,21,FF,87,будни/осн.,1,1,0,exact
2026-04-07,21,K,87,будни/осн.,5,5,0,exact
2026-04-07,21,TS,87,будни/осн.,1,1,0,exact
2026-04-07,22,BVR,71,будни/осн.,1,1,0,exact
2026-04-07,22,C,71,будни/осн.,2,0,-2,under
2026-04-07,22,FF,71,будни/осн.,1,1,0,exact
2026-04-07,22,K,71,будни/осн.,5,5,0,exact
2026-04-07,22,TS,71,будни/осн.,1,1,0,exact
2026-04-08,7,BVR,51,будни/утр.,1,1,0,exact
2026-04-08,7,C,51,будни/утр.,2,2,0,exact
2026-04-08,7,FF,51,будни/утр.,1,1,0,exact
2026-04-08,7,K,51,будни/утр.,3,3,0,exact
2026-04-08,7,TS,51,будни/утр.,1,1,0,exact
2026-04-08,8,BVR,87,будни/утр.,1,1,0,exact
2026-04-08,8,C,87,будни/утр.,2,2,0,exact
2026-04-08,8,FF,87,будни/утр.,1,1,0,exact
2026-04-08,8,K,87,будни/утр.,5,5,0,exact
2026-04-08,8,TS,87,будни/утр.,1,1,0,exact
2026-04-08,9,BVR,100,будни/утр.,1,1,0,exact
2026-04-08,9,C,100,будни/утр.,2,2,0,exact
2026-04-08,9,FF,100,будни/утр.,1,1,0,exact
2026-04-08,9,K,100,будни/утр.,5,5,0,exact
2026-04-08,9,TS,100,будни/утр.,1,1,0,exact
2026-04-08,10,BVR,89,будни/осн.,1,1,0,exact
2026-04-08,10,C,89,будни/осн.,2,2,0,exact
2026-04-08,10,FF,89,будни/осн.,1,1,0,exact
2026-04-08,10,K,89,будни/осн.,5,5,0,exact
2026-04-08,10,TS,89,будни/осн.,1,1,0,exact
2026-04-08,11,BVR,104,будни/осн.,1,1,0,exact
2026-04-08,11,C,104,будни/осн.,3,3,0,exact
2026-04-08,11,FF,104,будни/осн.,1,1,0,exact
2026-04-08,11,K,104,будни/осн.,5,5,0,exact
2026-04-08,11,TS,104,будни/осн.,1,1,0,exact
2026-04-08,12,BVR,183,будни/осн.,1,1,0,exact
2026-04-08,12,C,183,будни/осн.,5,5,0,exact
2026-04-08,12,FF,183,будни/осн.,1,1,0,exact
2026-04-08,12,K,183,будни/осн.,7,7,0,exact
2026-04-08,12,TS,183,будни/осн.,1,1,0,exact
2026-04-08,13,BVR,207,будни/осн.,1,1,0,exact
2026-04-08,13,C,207,будни/осн.,7,6,-1,under
2026-04-08,13,FF,207,будни/осн.,1,1,0,exact
2026-04-08,13,K,207,будни/осн.,8,8,0,exact
2026-04-08,13,TS,207,будни/осн.,4,2,-2,under
2026-04-08,14,BVR,149,будни/осн.,1,1,0,exact
2026-04-08,14,C,149,будни/осн.,4,4,0,exact
2026-04-08,14,FF,149,будни/осн.,1,1,0,exact
2026-04-08,14,K,149,будни/осн.,6,6,0,exact
2026-04-08,14,TS,149,будни/осн.,1,1,0,exact
2026-04-08,15,BVR,134,будни/осн.,1,1,0,exact
2026-04-08,15,C,134,будни/осн.,4,4,0,exact
2026-04-08,15,FF,134,будни/осн.,1,1,0,exact
2026-04-08,15,K,134,будни/осн.,6,6,0,exact
