ds,hour,station_key,required_labor,raw_reqlabor,guests_count,version,weekday
2026-04-06,7,BVR,1,1,66,будни/утр.,1
2026-04-06,7,C,2,2,66,будни/утр.,1
2026-04-06,7,FF,1,1,66,будни/утр.,1
2026-04-06,7,K,3,3,66,будни/утр.,1
2026-04-06,7,TS,1,1,66,будни/утр.,1
2026-04-06,8,BVR,1,1,92,будни/утр.,1
2026-04-06,8,C,2,2,92,будни/утр.,1
2026-04-06,8,FF,1,1,92,будни/утр.,1
2026-04-06,8,K,5,5,92,будни/утр.,1
2026-04-06,8,TS,1,1,92,будни/утр.,1
2026-04-06,9,BVR,1,1,97,будни/утр.,1
2026-04-06,9,C,2,2,97,будни/утр.,1
2026-04-06,9,FF,1,1,97,будни/утр.,1
2026-04-06,9,K,5,5,97,будни/утр.,1
2026-04-06,9,TS,1,1,97,будни/утр.,1
2026-04-06,10,BVR,1,1,78,будни/осн.,1
2026-04-06,10,C,2,2,78,будни/осн.,1
2026-04-06,10,FF,1,1,78,будни/осн.,1
2026-04-06,10,K,5,5,78,будни/осн.,1
2026-04-06,10,TS,1,1,78,будни/осн.,1
2026-04-06,11,BVR,1,1,108,будни/осн.,1
2026-04-06,11,C,3,3,108,будни/осн.,1
2026-04-06,11,FF,1,1,108,будни/осн.,1
2026-04-06,11,K,5,5,108,будни/осн.,1
2026-04-06,11,TS,1,1,108,будни/осн.,1
2026-04-06,12,BVR,1,1,191,будни/осн.,1
2026-04-06,12,C,6,6,191,будни/осн.,1
2026-04-06,12,FF,1,1,191,будни/осн.,1
2026-04-06,12,K,7,7,191,будни/осн.,1
2026-04-06,12,TS,1,1,191,будни/осн.,1
2026-04-06,13,BVR,1,1,189,будни/осн.,1
2026-04-06,13,C,5,5,189,будни/осн.,1
2026-04-06,13,FF,1,1,189,будни/осн.,1
2026-04-06,13,K,7,7,189,будни/осн.,1
2026-04-06,13,TS,1,1,189,будни/осн.,1
2026-04-06,14,BVR,1,1,169,будни/осн.,1
2026-04-06,14,C,5,5,169,будни/осн.,1
2026-04-06,14,FF,1,1,169,будни/осн.,1
2026-04-06,14,K,7,7,169,будни/осн.,1
2026-04-06,14,TS,1,1,169,будни/осн.,1
