sale_date,sale_hour,guests_count
2026-04-13,7,49
2026-04-13,8,83
2026-04-13,9,84
2026-04-13,10,84
2026-04-13,11,100
2026-04-13,12,167
2026-04-13,13,183
2026-04-13,14,141
2026-04-13,15,136
2026-04-13,16,114
2026-04-13,17,129
2026-04-13,18,137
2026-04-13,19,121
2026-04-13,20,122
2026-04-13,21,93
2026-04-13,22,57
2026-04-14,7,60
2026-04-14,8,85
2026-04-14,9,100
2026-04-14,10,78
2026-04-14,11,113
2026-04-14,12,191
2026-04-14,13,211
2026-04-14,14,127
2026-04-14,15,140
2026-04-14,16,113
2026-04-14,17,121
2026-04-14,18,124
2026-04-14,19,123
2026-04-14,20,101
2026-04-14,21,84
2026-04-14,22,59
2026-04-15,7,51
2026-04-15,8,82
2026-04-15,9,93
2026-04-15,10,82
2026-04-15,11,90
2026-04-15,12,186
2026-04-15,13,207
2026-04-15,14,163
2026-04-15,15,143
2026-04-15,16,132
2026-04-15,17,133
2026-04-15,18,149
2026-04-15,19,129
2026-04-15,20,115
2026-04-15,21,80
2026-04-15,22,68
2026-04-16,7,52
2026-04-16,8,102
2026-04-16,9,97
2026-04-16,10,84
2026-04-16,11,111
2026-04-16,12,197
2026-04-16,13,195
2026-04-16,14,182
2026-04-16,15,155
2026-04-16,16,135
2026-04-16,17,133
2026-04-16,18,145
2026-04-16,19,144
2026-04-16,20,131
2026-04-16,21,106
2026-04-16,22,82
2026-04-17,7,61
2026-04-17,8,108
2026-04-17,9,103
2026-04-17,10,96
2026-04-17,11,110
2026-04-17,12,208
2026-04-17,13,206
2026-04-17,14,172
2026-04-17,15,152
2026-04-17,16,130
2026-04-17,17,153
2026-04-17,18,166
2026-04-17,19,141
2026-04-17,20,137
2026-04-17,21,115
2026-04-17,22,98
2026-04-18,7,32
2026-04-18,8,55
2026-04-18,9,76
2026-04-18,10,74
2026-04-18,11,92
2026-04-18,12,128
2026-04-18,13,154
2026-04-18,14,159
2026-04-18,15,148
2026-04-18,16,144
2026-04-18,17,170
2026-04-18,18,139
2026-04-18,19,128
2026-04-18,20,110
2026-04-18,21,90
2026-04-18,22,87
2026-04-19,7,26
2026-04-19,8,44
2026-04-19,9,54
2026-04-19,10,58
2026-04-19,11,66
2026-04-19,12,96
2026-04-19,13,136
2026-04-19,14,132
2026-04-19,15,138
2026-04-19,16,120
2026-04-19,17,121
2026-04-19,18,130
2026-04-19,19,103
2026-04-19,20,101
2026-04-19,21,82
2026-04-19,22,69
