ds,station_key,employee_id,starttime,finishtime
2026-04-13,BVR,54,7,16
2026-04-13,BVR,3,16,23
2026-04-13,C,6,7,14
2026-04-13,C,14,7,16
2026-04-13,C,4,12,21
2026-04-13,C,38,12,19
2026-04-13,C,45,12,16
2026-04-13,C,32,16,23
2026-04-13,C,30,17,23
2026-04-13,FF,47,7,16
2026-04-13,FF,20,16,23
2026-04-13,K,15,7,16
2026-04-13,K,44,7,14
2026-04-13,K,52,7,16
2026-04-13,K,36,8,15
2026-04-13,K,5,9,16
2026-04-13,K,43,12,19
2026-04-13,K,61,12,16
2026-04-13,K,7,15,23
2026-04-13,K,11,16,23
2026-04-13,K,31,16,23
2026-04-13,K,56,16,22
2026-04-13,K,49,18,22
2026-04-13,TS,8,7,16
2026-04-13,TS,50,16,23
2026-04-14,BVR,59,7,16
2026-04-14,BVR,20,16,23
2026-04-14,C,2,7,14
2026-04-14,C,32,7,14
2026-04-14,C,6,11,18
2026-04-14,C,4,12,20
2026-04-14,C,38,12,19
2026-04-14,C,45,12,16
2026-04-14,C,41,18,22
2026-04-14,C,35,19,23
2026-04-14,FF,36,7,16
2026-04-14,FF,3,16,23
2026-04-14,K,8,7,14
2026-04-14,K,14,7,14
2026-04-14,K,44,7,14
2026-04-14,K,15,8,16
2026-04-14,K,28,8,16
2026-04-14,K,5,12,16
2026-04-14,K,54,12,19
2026-04-14,K,11,13,22
2026-04-14,K,31,15,23
2026-04-14,K,1,16,23
2026-04-14,K,66,16,23
2026-04-14,K,33,19,23
2026-04-14,TS,19,7,14
2026-04-14,TS,18,13,20
2026-04-14,TS,46,20,23
2026-04-15,BVR,8,7,16
2026-04-15,BVR,3,16,23
2026-04-15,C,14,7,15
2026-04-15,C,47,7,14
2026-04-15,C,16,12,16
2026-04-15,C,22,12,19
2026-04-15,C,51,12,16
2026-04-15,C,38,13,21
2026-04-15,C,34,16,20
2026-04-15,C,52,16,23
2026-04-15,C,33,19,23
2026-04-15,FF,19,7,16
2026-04-15,FF,20,16,23
2026-04-15,K,1,7,16
2026-04-15,K,17,7,15
2026-04-15,K,43,7,14
2026-04-15,K,28,8,17
2026-04-15,K,5,9,16
2026-04-15,K,15,12,19
2026-04-15,K,45,12,16
2026-04-15,K,54,13,22
2026-04-15,K,4,16,23
2026-04-15,K,11,16,23
2026-04-15,K,59,16,23
2026-04-15,K,30,17,23
2026-04-15,TS,7,7,14
2026-04-15,TS,18,13,20
2026-04-15,TS,6,20,23
2026-04-16,BVR,44,7,15
2026-04-16,BVR,53,15,19
2026-04-16,BVR,33,19,23
2026-04-16,C,19,7,15
2026-04-16,C,32,7,15
2026-04-16,C,56,11,14
2026-04-16,C,23,12,21
2026-04-16,C,45,12,16
2026-04-16,C,51,12,16
2026-04-16,C,50,15,23
2026-04-16,C,20,16,23
2026-04-16,C,27,16,19
2026-04-16,C,24,19,22
2026-04-16,FF,2,7,16
2026-04-16,FF,3,16,23
2026-04-16,K,8,7,15
2026-04-16,K,28,7,15
2026-04-16,K,66,7,14
2026-04-16,K,31,8,17
2026-04-16,K,38,8,17
2026-04-16,K,5,12,16
2026-04-16,K,21,12,16
2026-04-16,K,17,14,23
2026-04-16,K,1,15,23
2026-04-16,K,7,16,23
2026-04-16,K,59,16,23
2026-04-16,K,36,17,23
2026-04-16,K,39,17,20
2026-04-16,TS,52,7,15
2026-04-16,TS,11,15,23
2026-04-17,BVR,43,7,16
2026-04-17,BVR,40,16,19
2026-04-17,BVR,3,19,23
2026-04-17,C,7,7,14
2026-04-17,C,19,7,14
2026-04-17,C,1,8,15
2026-04-17,C,14,12,19
2026-04-17,C,28,12,19
2026-04-17,C,32,12,21
2026-04-17,C,18,13,20
2026-04-17,C,55,18,22
2026-04-17,C,6,19,23
2026-04-17,C,30,20,23
2026-04-17,FF,47,7,16
2026-04-17,FF,26,16,19
2026-04-17,FF,58,19,22
2026-04-17,K,17,7,15
2026-04-17,K,52,7,14
2026-04-17,K,54,7,14
2026-04-17,K,4,8,17
2026-04-17,K,15,8,15
2026-04-17,K,5,12,16
2026-04-17,K,21,12,16
2026-04-17,K,22,12,16
2026-04-17,K,31,14,23
2026-04-17,K,53,15,19
2026-04-17,K,59,16,23
2026-04-17,K,66,16,23
2026-04-17,K,12,17,21
2026-04-17,K,36,17,23
2026-04-17,K,62,18,22
2026-04-17,TS,8,7,14
2026-04-17,TS,45,11,14
2026-04-17,TS,2,12,19
2026-04-17,TS,51,12,15
2026-04-17,TS,50,19,23
2026-04-18,BVR,59,7,14
2026-04-18,BVR,14,14,23
2026-04-18,C,13,7,11
2026-04-18,C,47,8,15
2026-04-18,C,64,10,14
2026-04-18,C,68,11,18
2026-04-18,C,9,12,18
2026-04-18,C,37,13,16
2026-04-18,C,66,14,23
2026-04-18,C,25,15,18
2026-04-18,C,30,17,23
2026-04-18,C,42,17,20
2026-04-18,C,29,18,21
2026-04-18,C,50,20,23
2026-04-18,FF,2,7,16
2026-04-18,FF,19,16,23
2026-04-18,K,17,7,14
2026-04-18,K,54,7,14
2026-04-18,K,7,8,16
2026-04-18,K,48,9,13
2026-04-18,K,60,11,15
2026-04-18,K,56,12,19
2026-04-18,K,18,13,20
2026-04-18,K,21,13,16
2026-04-18,K,1,14,23
2026-04-18,K,15,14,23
2026-04-18,K,43,15,23
2026-04-18,K,31,16,23
2026-04-18,K,52,16,23
2026-04-18,TS,44,7,16
2026-04-18,TS,51,12,16
2026-04-18,TS,10,16,20
2026-04-18,TS,33,16,23
2026-04-19,BVR,66,7,16
2026-04-19,BVR,47,16,23
2026-04-19,C,32,7,14
2026-04-19,C,65,8,12
2026-04-19,C,63,12,16
2026-04-19,C,68,12,19
2026-04-19,C,37,13,16
2026-04-19,C,11,14,23
2026-04-19,C,6,16,23
2026-04-19,C,17,16,23
2026-04-19,FF,2,7,14
2026-04-19,FF,33,14,23
2026-04-19,K,4,7,14
2026-04-19,K,43,7,16
2026-04-19,K,23,9,18
2026-04-19,K,21,11,18
2026-04-19,K,56,12,19
2026-04-19,K,9,13,17
2026-04-19,K,38,13,22
2026-04-19,K,44,15,23
2026-04-19,K,0,17,21
2026-04-19,K,41,18,22
2026-04-19,K,67,18,22
2026-04-19,TS,13,7,11
2026-04-19,TS,28,11,19
2026-04-19,TS,61,13,16
2026-04-19,TS,57,17,20
2026-04-19,TS,36,20,23
