sale_date,sale_hour,guests_count
2026-04-13,7,48
2026-04-13,8,79
2026-04-13,9,87
2026-04-13,10,72
2026-04-13,11,98
2026-04-13,12,165
2026-04-13,13,177
2026-04-13,14,143
2026-04-13,15,133
2026-04-13,16,122
2026-04-13,17,121
2026-04-13,18,135
2026-04-13,19,119
2026-04-13,20,105
2026-04-13,21,81
2026-04-13,22,63
2026-04-14,7,50
2026-04-14,8,85
2026-04-14,9,89
2026-04-14,10,79
2026-04-14,11,101
2026-04-14,12,189
2026-04-14,13,184
2026-04-14,14,152
2026-04-14,15,138
2026-04-14,16,129
2026-04-14,17,131
2026-04-14,18,144
2026-04-14,19,132
2026-04-14,20,108
2026-04-14,21,81
2026-04-14,22,68
2026-04-15,7,51
2026-04-15,8,81
2026-04-15,9,93
2026-04-15,10,85
2026-04-15,11,103
2026-04-15,12,177
2026-04-15,13,190
2026-04-15,14,151
2026-04-15,15,136
2026-04-15,16,126
2026-04-15,17,137
2026-04-15,18,143
2026-04-15,19,135
2026-04-15,20,111
2026-04-15,21,88
2026-04-15,22,68
2026-04-16,7,51
2026-04-16,8,88
2026-04-16,9,100
2026-04-16,10,82
2026-04-16,11,102
2026-04-16,12,176
2026-04-16,13,192
2026-04-16,14,152
2026-04-16,15,145
2026-04-16,16,130
2026-04-16,17,135
2026-04-16,18,149
2026-04-16,19,136
2026-04-16,20,114
2026-04-16,21,94
2026-04-16,22,76
2026-04-17,7,59
2026-04-17,8,94
2026-04-17,9,102
2026-04-17,10,87
2026-04-17,11,104
2026-04-17,12,190
2026-04-17,13,206
2026-04-17,14,167
2026-04-17,15,154
2026-04-17,16,142
2026-04-17,17,152
2026-04-17,18,164
2026-04-17,19,148
2026-04-17,20,129
2026-04-17,21,112
2026-04-17,22,94
2026-04-18,7,27
2026-04-18,8,54
2026-04-18,9,65
2026-04-18,10,68
2026-04-18,11,88
2026-04-18,12,117
2026-04-18,13,135
2026-04-18,14,139
2026-04-18,15,139
2026-04-18,16,138
2026-04-18,17,150
2026-04-18,18,143
2026-04-18,19,132
2026-04-18,20,115
2026-04-18,21,95
2026-04-18,22,85
2026-04-19,7,21
2026-04-19,8,34
2026-04-19,9,49
2026-04-19,10,55
2026-04-19,11,60
2026-04-19,12,85
2026-04-19,13,109
2026-04-19,14,116
2026-04-19,15,128
2026-04-19,16,120
2026-04-19,17,123
2026-04-19,18,127
2026-04-19,19,112
2026-04-19,20,94
2026-04-19,21,79
2026-04-19,22,69
