ds,station_key,employee_id,starttime,finishtime
2026-04-13,BVR,4,7,16
2026-04-13,BVR,3,16,23
2026-04-13,C,6,7,14
2026-04-13,C,19,7,16
2026-04-13,C,32,12,19
2026-04-13,C,38,12,19
2026-04-13,C,61,12,16
2026-04-13,C,50,16,23
2026-04-13,C,24,18,21
2026-04-13,C,30,19,23
2026-04-13,FF,2,7,15
2026-04-13,FF,47,15,23
2026-04-13,K,14,7,15
2026-04-13,K,15,7,15
2026-04-13,K,54,7,14
2026-04-13,K,36,8,15
2026-04-13,K,5,9,16
2026-04-13,K,17,12,19
2026-04-13,K,45,12,16
2026-04-13,K,44,15,23
2026-04-13,K,52,15,23
2026-04-13,K,59,15,23
2026-04-13,K,31,16,23
2026-04-13,K,49,18,22
2026-04-13,TS,8,7,16
2026-04-13,TS,20,16,23
2026-04-14,BVR,31,7,15
2026-04-14,BVR,19,15,23
2026-04-14,C,2,7,16
2026-04-14,C,17,7,14
2026-04-14,C,6,12,21
2026-04-14,C,38,12,19
2026-04-14,C,45,12,16
2026-04-14,C,3,16,23
2026-04-14,C,27,16,20
2026-04-14,C,46,19,23
2026-04-14,FF,36,7,16
2026-04-14,FF,20,16,23
2026-04-14,K,1,7,14
2026-04-14,K,8,7,15
2026-04-14,K,44,7,15
2026-04-14,K,54,8,17
2026-04-14,K,59,8,17
2026-04-14,K,5,12,16
2026-04-14,K,28,12,19
2026-04-14,K,11,15,23
2026-04-14,K,66,15,23
2026-04-14,K,35,17,23
2026-04-14,K,39,17,20
2026-04-14,K,41,18,22
2026-04-14,K,33,19,23
2026-04-14,TS,15,7,15
2026-04-14,TS,43,15,23
2026-04-15,BVR,47,7,14
2026-04-15,BVR,52,14,23
2026-04-15,C,8,7,14
2026-04-15,C,32,7,16
2026-04-15,C,22,11,19
2026-04-15,C,16,12,16
2026-04-15,C,38,12,21
2026-04-15,C,3,16,23
2026-04-15,C,34,16,20
2026-04-15,C,33,19,23
2026-04-15,FF,2,7,16
2026-04-15,FF,20,16,23
2026-04-15,K,1,7,14
2026-04-15,K,4,7,14
2026-04-15,K,17,7,15
2026-04-15,K,28,8,15
2026-04-15,K,5,9,16
2026-04-15,K,45,12,16
2026-04-15,K,51,12,16
2026-04-15,K,18,14,18
2026-04-15,K,14,15,23
2026-04-15,K,43,15,23
2026-04-15,K,7,16,23
2026-04-15,K,40,16,20
2026-04-15,K,30,17,23
2026-04-15,K,56,18,22
2026-04-15,TS,59,7,14
2026-04-15,TS,54,14,23
2026-04-16,BVR,66,7,16
2026-04-16,BVR,54,16,23
2026-04-16,C,1,7,14
2026-04-16,C,32,7,16
2026-04-16,C,56,11,14
2026-04-16,C,23,12,19
2026-04-16,C,51,12,16
2026-04-16,C,45,13,17
2026-04-16,C,20,16,23
2026-04-16,C,27,16,20
2026-04-16,C,12,17,21
2026-04-16,C,33,19,23
2026-04-16,FF,47,7,16
2026-04-16,FF,3,16,23
2026-04-16,K,7,7,15
2026-04-16,K,8,7,15
2026-04-16,K,52,7,14
2026-04-16,K,38,8,15
2026-04-16,K,43,8,16
2026-04-16,K,5,12,16
2026-04-16,K,21,12,16
2026-04-16,K,14,15,23
2026-04-16,K,31,15,23
2026-04-16,K,44,15,23
2026-04-16,K,10,16,20
2026-04-16,K,11,16,23
2026-04-16,K,36,17,23
2026-04-16,TS,28,7,16
2026-04-16,TS,50,16,23
2026-04-17,BVR,28,7,14
2026-04-17,BVR,15,14,23
2026-04-17,C,17,7,14
2026-04-17,C,47,7,14
2026-04-17,C,21,11,15
2026-04-17,C,1,12,19
2026-04-17,C,2,12,19
2026-04-17,C,18,13,20
2026-04-17,C,45,13,17
2026-04-17,C,55,17,21
2026-04-17,C,6,18,23
2026-04-17,C,58,19,22
2026-04-17,C,30,20,23
2026-04-17,FF,19,7,16
2026-04-17,FF,26,16,20
2026-04-17,FF,50,20,23
2026-04-17,K,7,7,14
2026-04-17,K,31,7,14
2026-04-17,K,52,7,15
2026-04-17,K,4,8,15
2026-04-17,K,8,8,16
2026-04-17,K,5,12,16
2026-04-17,K,51,12,16
2026-04-17,K,14,13,20
2026-04-17,K,43,14,23
2026-04-17,K,53,15,19
2026-04-17,K,11,16,23
2026-04-17,K,59,16,23
2026-04-17,K,66,16,23
2026-04-17,K,3,18,23
2026-04-17,TS,44,7,14
2026-04-17,TS,22,13,17
2026-04-17,TS,36,17,23
2026-04-18,BVR,7,7,16
2026-04-18,BVR,19,16,23
2026-04-18,C,32,7,14
2026-04-18,C,47,8,15
2026-04-18,C,68,11,18
2026-04-18,C,9,12,19
2026-04-18,C,11,14,23
2026-04-18,C,37,15,18
2026-04-18,C,30,17,23
2026-04-18,C,29,18,21
2026-04-18,C,6,19,23
2026-04-18,FF,13,7,10
2026-04-18,FF,48,10,13
2026-04-18,FF,18,13,20
2026-04-18,FF,50,20,23
2026-04-18,K,1,7,16
2026-04-18,K,14,7,16
2026-04-18,K,15,8,15
2026-04-18,K,64,10,14
2026-04-18,K,60,11,15
2026-04-18,K,56,12,19
2026-04-18,K,51,13,16
2026-04-18,K,17,14,23
2026-04-18,K,25,15,18
2026-04-18,K,52,15,23
2026-04-18,K,31,16,23
2026-04-18,K,43,16,23
2026-04-18,K,66,16,23
2026-04-18,K,62,18,21
2026-04-18,TS,4,7,15
2026-04-18,TS,21,13,17
2026-04-18,TS,33,15,23
2026-04-18,TS,42,17,20
2026-04-19,BVR,44,7,16
2026-04-19,BVR,4,16,23
2026-04-19,C,32,7,15
2026-04-19,C,28,9,16
2026-04-19,C,68,12,19
2026-04-19,C,38,13,22
2026-04-19,C,6,15,23
2026-04-19,C,57,16,20
2026-04-19,C,36,19,23
2026-04-19,FF,2,7,14
2026-04-19,FF,33,14,23
2026-04-19,K,13,7,11
2026-04-19,K,15,7,15
2026-04-19,K,23,10,17
2026-04-19,K,65,11,15
2026-04-19,K,56,12,19
2026-04-19,K,63,12,16
2026-04-19,K,59,14,23
2026-04-19,K,7,15,23
2026-04-19,K,11,15,23
2026-04-19,K,54,16,23
2026-04-19,K,0,17,21
2026-04-19,TS,66,7,16
2026-04-19,TS,67,15,19
2026-04-19,TS,19,17,23
