employee_id,total_hours,working_days,shifts,avg_shift_duration,stations_used
0,4,1,1,4.0,K
1,40,5,5,8.0,K
2,40,5,5,8.0,"FF,TS"
3,31,5,5,6.2,"C,FF,TS"
4,40,5,5,8.0,"BVR,K,TS"
5,20,5,5,4.0,K
6,30,5,5,6.0,"C,TS"
7,40,5,5,8.0,"BVR,K"
8,40,5,5,8.0,"C,K,TS"
9,7,1,1,7.0,C
10,4,1,1,4.0,TS
11,40,5,5,8.0,"BVR,K"
12,4,1,1,4.0,K
13,8,2,2,4.0,"C,K"
14,40,5,5,8.0,"C,K,TS"
15,39,5,5,7.8,"C,K"
16,4,1,1,4.0,C
17,39,5,5,7.8,"BVR,C,K"
18,17,3,3,5.67,"K,TS"
19,40,5,5,8.0,"BVR,C,FF"
20,28,4,4,7.0,"BVR,FF,TS"
21,16,4,4,4.0,K
22,13,2,2,6.5,C
23,14,2,2,7.0,C
24,3,1,1,3.0,C
25,7,2,2,3.5,C
26,4,1,1,4.0,FF
27,8,2,2,4.0,C
28,40,5,5,8.0,"C,K,TS"
29,4,1,1,4.0,C
30,20,4,4,5.0,"C,K"
31,39,5,5,7.8,"BVR,K,TS"
32,40,5,5,8.0,C
33,30,5,5,6.0,"C,FF"
34,4,1,1,4.0,C
35,6,1,1,6.0,K
36,32,5,5,6.4,"C,K"
37,3,1,1,3.0,C
38,40,5,5,8.0,"C,K"
39,3,1,1,3.0,K
40,4,1,1,4.0,K
41,4,1,1,4.0,C
42,3,1,1,3.0,K
43,40,5,5,8.0,"BVR,C,K"
44,40,5,5,8.0,"K,TS"
45,19,5,5,3.8,"C,K"
46,5,1,1,5.0,K
47,40,5,5,8.0,"C,FF,TS"
48,3,1,1,3.0,K
49,4,1,1,4.0,K
50,24,4,4,6.0,"BVR,K,TS"
51,16,4,4,4.0,"C,K,TS"
52,40,5,5,8.0,"C,K"
53,4,1,1,4.0,K
54,40,5,5,8.0,"BVR,C,K"
55,3,1,1,3.0,C
56,17,3,3,5.67,K
57,3,1,1,3.0,TS
58,3,1,1,3.0,C
59,40,5,5,8.0,K
60,4,1,1,4.0,K
61,5,1,1,5.0,C
62,4,1,1,4.0,K
63,4,1,1,4.0,C
64,4,1,1,4.0,C
65,4,1,1,4.0,K
66,39,5,5,7.8,"BVR,K,TS"
67,4,1,1,4.0,K
68,7,1,1,7.0,K
