candidate_id,employee_id,ds,weekday,station_key,starttime,finishtime,duration,shift_duration_penalty,station_priority,base_cost,selected
0,0,2026-04-23,4,BVR,18,21,3,60,2,6197,0
1,0,2026-04-23,4,C,18,21,3,60,4,6397,0
2,0,2026-04-23,4,FF,18,21,3,60,1,6097,0
3,0,2026-04-23,4,K,18,21,3,60,2,6197,0
4,0,2026-04-23,4,TS,18,21,3,60,2,6197,0
5,0,2026-04-23,4,BVR,19,22,3,60,2,6197,0
6,0,2026-04-23,4,C,19,22,3,60,4,6397,0
7,0,2026-04-23,4,FF,19,22,3,60,1,6097,0
8,0,2026-04-23,4,K,19,22,3,60,2,6197,0
9,0,2026-04-23,4,TS,19,22,3,60,2,6197,0
10,0,2026-04-23,4,BVR,18,22,4,30,2,3196,0
11,0,2026-04-23,4,C,18,22,4,30,4,3396,0
12,0,2026-04-23,4,FF,18,22,4,30,1,3096,0
13,0,2026-04-23,4,K,18,22,4,30,2,3196,0
14,0,2026-04-23,4,TS,18,22,4,30,2,3196,0
15,0,2026-04-24,5,BVR,18,21,3,60,2,6197,0
16,0,2026-04-24,5,C,18,21,3,60,4,6397,0
17,0,2026-04-24,5,FF,18,21,3,60,1,6097,0
18,0,2026-04-24,5,K,18,21,3,60,2,6197,0
19,0,2026-04-24,5,TS,18,21,3,60,2,6197,0
20,0,2026-04-24,5,BVR,19,22,3,60,2,6197,0
21,0,2026-04-24,5,C,19,22,3,60,4,6397,0
22,0,2026-04-24,5,FF,19,22,3,60,1,6097,0
23,0,2026-04-24,5,K,19,22,3,60,2,6197,0
24,0,2026-04-24,5,TS,19,22,3,60,2,6197,0
25,0,2026-04-24,5,BVR,18,22,4,30,2,3196,0
26,0,2026-04-24,5,C,18,22,4,30,4,3396,0
27,0,2026-04-24,5,FF,18,22,4,30,1,3096,0
28,0,2026-04-24,5,K,18,22,4,30,2,3196,0
29,0,2026-04-24,5,TS,18,22,4,30,2,3196,0
30,0,2026-04-25,6,BVR,18,21,3,60,2,6197,0
31,0,2026-04-25,6,C,18,21,3,60,4,6397,0
32,0,2026-04-25,6,FF,18,21,3,60,1,6097,0
33,0,2026-04-25,6,K,18,21,3,60,2,6197,0
34,0,2026-04-25,6,TS,18,21,3,60,2,6197,0
35,0,2026-04-25,6,BVR,19,22,3,60,2,6197,0
36,0,2026-04-25,6,C,19,22,3,60,4,6397,0
37,0,2026-04-25,6,FF,19,22,3,60,1,6097,0
38,0,2026-04-25,6,K,19,22,3,60,2,6197,0
39,0,2026-04-25,6,TS,19,22,3,60,2,6197,0
40,0,2026-04-25,6,BVR,18,22,4,30,2,3196,0
41,0,2026-04-25,6,C,18,22,4,30,4,3396,0
42,0,2026-04-25,6,FF,18,22,4,30,1,3096,0
43,0,2026-04-25,6,K,18,22,4,30,2,3196,0
