employee_id,total_hours,working_days,shifts,avg_shift_duration,stations_used
0,3,1,1,3.0,K
1,39,5,5,7.8,"C,K,TS"
2,40,5,5,8.0,"BVR,C,FF,TS"
3,32,5,5,6.4,"BVR,C,FF"
4,40,5,5,8.0,"K,TS"
5,29,5,5,5.8,"C,K"
6,31,5,5,6.2,C
7,40,5,5,8.0,K
8,39,5,5,7.8,"C,K"
9,7,1,1,7.0,C
10,4,1,1,4.0,K
11,40,5,5,8.0,K
12,4,1,1,4.0,K
13,7,2,2,3.5,"C,FF"
14,40,5,5,8.0,"C,K,TS"
15,38,5,5,7.6,"BVR,K,TS"
16,4,1,1,4.0,C
17,39,5,5,7.8,"BVR,K"
18,15,3,3,5.0,"FF,K,TS"
19,40,5,5,8.0,"C,FF"
20,28,4,4,7.0,"BVR,FF,TS"
21,12,3,3,4.0,"C,K"
22,20,3,3,6.67,"C,FF,K"
23,16,2,2,8.0,"C,K"
24,3,1,1,3.0,C
25,3,1,1,3.0,K
26,4,1,1,4.0,K
27,4,1,1,4.0,C
28,39,5,5,7.8,"C,K,TS"
29,3,1,1,3.0,C
30,20,4,4,5.0,"C,K"
31,39,5,5,7.8,"BVR,K,TS"
32,37,5,5,7.4,C
33,28,5,5,5.6,"BVR,C,FF"
34,8,2,2,4.0,C
35,6,1,1,6.0,K
36,32,5,5,6.4,"C,K,TS"
37,3,1,1,3.0,C
38,40,5,5,8.0,"C,K"
39,3,1,1,3.0,K
40,4,1,1,4.0,K
41,4,1,1,4.0,C
42,3,1,1,3.0,K
43,40,5,5,8.0,"C,K"
44,38,5,5,7.6,"BVR,C,K"
45,20,5,5,4.0,"C,K"
46,4,1,1,4.0,FF
47,40,5,5,8.0,"C,FF,TS"
48,3,1,1,3.0,FF
49,4,1,1,4.0,K
50,23,4,4,5.75,"BVR,FF,K,TS"
51,15,4,4,3.75,"C,FF,K"
52,40,5,5,8.0,"C,K"
53,4,1,1,4.0,BVR
54,40,5,5,8.0,"BVR,K"
55,4,1,1,4.0,K
56,21,4,4,5.25,K
57,4,1,1,4.0,C
58,3,1,1,3.0,C
59,40,5,5,8.0,"C,K,TS"
60,4,1,1,4.0,K
61,4,1,1,4.0,C
62,4,1,1,4.0,K
63,4,1,1,4.0,C
64,4,1,1,4.0,K
65,4,1,1,4.0,K
66,40,5,5,8.0,"BVR,K"
67,4,1,1,4.0,TS
68,15,2,2,7.5,C
