ds,station_key,employee_id,starttime,finishtime
2026-04-27,BVR,54,7,16
2026-04-27,BVR,50,16,23
2026-04-27,C,6,7,14
2026-04-27,C,47,7,16
2026-04-27,C,32,12,19
2026-04-27,C,38,12,19
2026-04-27,C,61,12,16
2026-04-27,C,3,16,23
2026-04-27,C,24,18,21
2026-04-27,C,30,19,23
2026-04-27,FF,19,7,16
2026-04-27,FF,20,16,23
2026-04-27,K,8,7,15
2026-04-27,K,15,7,16
2026-04-27,K,17,7,14
2026-04-27,K,36,8,15
2026-04-27,K,5,9,16
2026-04-27,K,11,12,19
2026-04-27,K,45,12,16
2026-04-27,K,14,15,23
2026-04-27,K,31,15,23
2026-04-27,K,1,16,23
2026-04-27,K,7,16,23
2026-04-27,K,55,18,22
2026-04-27,TS,2,7,14
2026-04-27,TS,4,14,23
2026-04-28,BVR,31,7,15
2026-04-28,BVR,44,15,23
2026-04-28,C,2,7,16
2026-04-28,C,47,7,14
2026-04-28,C,6,12,21
2026-04-28,C,38,12,20
2026-04-28,C,59,12,19
2026-04-28,C,3,16,23
2026-04-28,C,33,19,23
2026-04-28,FF,19,7,15
2026-04-28,FF,22,15,19
2026-04-28,FF,46,19,23
2026-04-28,K,1,7,14
2026-04-28,K,8,7,14
2026-04-28,K,28,7,14
2026-04-28,K,4,8,15
2026-04-28,K,7,8,17
2026-04-28,K,5,12,16
2026-04-28,K,45,12,16
2026-04-28,K,17,14,23
2026-04-28,K,43,14,23
2026-04-28,K,66,15,23
2026-04-28,K,40,16,20
2026-04-28,K,35,17,23
2026-04-28,K,56,18,22
2026-04-28,TS,36,7,16
2026-04-28,TS,20,16,23
2026-04-29,BVR,17,7,16
2026-04-29,BVR,20,16,23
2026-04-29,C,32,7,15
2026-04-29,C,52,7,14
2026-04-29,C,22,11,19
2026-04-29,C,16,12,16
2026-04-29,C,38,12,21
2026-04-29,C,43,15,23
2026-04-29,C,34,16,20
2026-04-29,C,33,19,23
2026-04-29,FF,2,7,16
2026-04-29,FF,3,16,23
2026-04-29,K,8,7,14
2026-04-29,K,44,7,14
2026-04-29,K,54,7,14
2026-04-29,K,14,8,15
2026-04-29,K,5,9,16
2026-04-29,K,45,12,16
2026-04-29,K,51,12,16
2026-04-29,K,7,14,23
2026-04-29,K,18,14,18
2026-04-29,K,11,15,23
