ds,hour,station_key,guests_count,version,required,actual,diff,status
2026-04-27,7,BVR,39,будни/утр.,1,1,0,exact
2026-04-27,7,C,39,будни/утр.,2,2,0,exact
2026-04-27,7,FF,39,будни/утр.,1,1,0,exact
2026-04-27,7,K,39,будни/утр.,2,2,0,exact
2026-04-27,7,TS,39,будни/утр.,1,1,0,exact
2026-04-27,8,BVR,60,будни/утр.,1,1,0,exact
2026-04-27,8,C,60,будни/утр.,2,2,0,exact
2026-04-27,8,FF,60,будни/утр.,1,1,0,exact
2026-04-27,8,K,60,будни/утр.,3,3,0,exact
2026-04-27,8,TS,60,будни/утр.,1,1,0,exact
2026-04-27,9,BVR,73,будни/утр.,1,1,0,exact
2026-04-27,9,C,73,будни/утр.,2,2,0,exact
2026-04-27,9,FF,73,будни/утр.,1,1,0,exact
2026-04-27,9,K,73,будни/утр.,4,4,0,exact
2026-04-27,9,TS,73,будни/утр.,1,1,0,exact
2026-04-27,10,BVR,66,будни/осн.,1,1,0,exact
2026-04-27,10,C,66,будни/осн.,2,2,0,exact
2026-04-27,10,FF,66,будни/осн.,1,1,0,exact
2026-04-27,10,K,66,будни/осн.,4,4,0,exact
2026-04-27,10,TS,66,будни/осн.,1,1,0,exact
2026-04-27,11,BVR,83,будни/осн.,1,1,0,exact
2026-04-27,11,C,83,будни/осн.,2,2,0,exact
2026-04-27,11,FF,83,будни/осн.,1,1,0,exact
2026-04-27,11,K,83,будни/осн.,5,5,0,exact
2026-04-27,11,TS,83,будни/осн.,1,1,0,exact
2026-04-27,12,BVR,129,будни/осн.,1,1,0,exact
2026-04-27,12,C,129,будни/осн.,4,4,0,exact
2026-04-27,12,FF,129,будни/осн.,1,1,0,exact
2026-04-27,12,K,129,будни/осн.,5,5,0,exact
2026-04-27,12,TS,129,будни/осн.,1,1,0,exact
2026-04-27,13,BVR,146,будни/осн.,1,1,0,exact
2026-04-27,13,C,146,будни/осн.,4,4,0,exact
2026-04-27,13,FF,146,будни/осн.,1,1,0,exact
2026-04-27,13,K,146,будни/осн.,6,6,0,exact
2026-04-27,13,TS,146,будни/осн.,1,1,0,exact
2026-04-27,14,BVR,139,будни/осн.,1,1,0,exact
2026-04-27,14,C,139,будни/осн.,4,4,0,exact
2026-04-27,14,FF,139,будни/осн.,1,1,0,exact
2026-04-27,14,K,139,будни/осн.,6,6,0,exact
2026-04-27,14,TS,139,будни/осн.,1,1,0,exact
2026-04-27,15,BVR,133,будни/осн.,1,1,0,exact
2026-04-27,15,C,133,будни/осн.,4,4,0,exact
2026-04-27,15,FF,133,будни/осн.,1,1,0,exact
2026-04-27,15,K,133,будни/осн.,6,6,0,exact
2026-04-27,15,TS,133,будни/осн.,1,1,0,exact
2026-04-27,16,BVR,124,будни/осн.,1,1,0,exact
2026-04-27,16,C,124,будни/осн.,3,3,0,exact
2026-04-27,16,FF,124,будни/осн.,1,1,0,exact
2026-04-27,16,K,124,будни/осн.,5,5,0,exact
2026-04-27,16,TS,124,будни/осн.,1,1,0,exact
2026-04-27,17,BVR,126,будни/осн.,1,1,0,exact
2026-04-27,17,C,126,будни/осн.,4,4,0,exact
2026-04-27,17,FF,126,будни/осн.,1,1,0,exact
2026-04-27,17,K,126,будни/осн.,5,5,0,exact
2026-04-27,17,TS,126,будни/осн.,1,1,0,exact
2026-04-27,18,BVR,129,будни/осн.,1,1,0,exact
2026-04-27,18,C,129,будни/осн.,4,4,0,exact
2026-04-27,18,FF,129,будни/осн.,1,1,0,exact
2026-04-27,18,K,129,будни/осн.,5,5,0,exact
2026-04-27,18,TS,129,будни/осн.,1,1,0,exact
