ds,hour,station_key,required_labor,raw_reqlabor,guests_count,version,weekday
2024-10-01,7,BVR,1,1,50,будни/утр.,2
2024-10-01,7,C,2,2,50,будни/утр.,2
2024-10-01,7,FF,1,1,50,будни/утр.,2
2024-10-01,7,K,3,3,50,будни/утр.,2
2024-10-01,7,TS,1,1,50,будни/утр.,2
2024-10-01,8,BVR,1,1,85,будни/утр.,2
2024-10-01,8,C,2,2,85,будни/утр.,2
2024-10-01,8,FF,1,1,85,будни/утр.,2
2024-10-01,8,K,5,5,85,будни/утр.,2
2024-10-01,8,TS,1,1,85,будни/утр.,2
2024-10-01,9,BVR,1,1,89,будни/утр.,2
2024-10-01,9,C,2,2,89,будни/утр.,2
2024-10-01,9,FF,1,1,89,будни/утр.,2
2024-10-01,9,K,5,5,89,будни/утр.,2
2024-10-01,9,TS,1,1,89,будни/утр.,2
2024-10-01,10,BVR,1,1,79,будни/осн.,2
2024-10-01,10,C,2,2,79,будни/осн.,2
2024-10-01,10,FF,1,1,79,будни/осн.,2
2024-10-01,10,K,5,5,79,будни/осн.,2
2024-10-01,10,TS,1,1,79,будни/осн.,2
2024-10-01,11,BVR,1,1,101,будни/осн.,2
2024-10-01,11,C,2,2,101,будни/осн.,2
2024-10-01,11,FF,1,1,101,будни/осн.,2
2024-10-01,11,K,5,5,101,будни/осн.,2
2024-10-01,11,TS,1,1,101,будни/осн.,2
2024-10-01,12,BVR,1,1,189,будни/осн.,2
2024-10-01,12,C,5,5,189,будни/осн.,2
2024-10-01,12,FF,1,1,189,будни/осн.,2
2024-10-01,12,K,7,7,189,будни/осн.,2
2024-10-01,12,TS,1,1,189,будни/осн.,2
2024-10-01,13,BVR,1,1,184,будни/осн.,2
2024-10-01,13,C,5,5,184,будни/осн.,2
2024-10-01,13,FF,1,1,184,будни/осн.,2
2024-10-01,13,K,7,7,184,будни/осн.,2
2024-10-01,13,TS,1,1,184,будни/осн.,2
2024-10-01,14,BVR,1,1,152,будни/осн.,2
2024-10-01,14,C,4,4,152,будни/осн.,2
2024-10-01,14,FF,1,1,152,будни/осн.,2
2024-10-01,14,K,6,6,152,будни/осн.,2
2024-10-01,14,TS,1,1,152,будни/осн.,2
2024-10-01,15,BVR,1,1,138,будни/осн.,2
2024-10-01,15,C,4,4,138,будни/осн.,2
2024-10-01,15,FF,1,1,138,будни/осн.,2
2024-10-01,15,K,6,6,138,будни/осн.,2
2024-10-01,15,TS,1,1,138,будни/осн.,2
2024-10-01,16,BVR,1,1,129,будни/осн.,2
2024-10-01,16,C,4,4,129,будни/осн.,2
2024-10-01,16,FF,1,1,129,будни/осн.,2
2024-10-01,16,K,5,5,129,будни/осн.,2
2024-10-01,16,TS,1,1,129,будни/осн.,2
2024-10-01,17,BVR,1,1,131,будни/осн.,2
2024-10-01,17,C,4,4,131,будни/осн.,2
2024-10-01,17,FF,1,1,131,будни/осн.,2
2024-10-01,17,K,5,5,131,будни/осн.,2
2024-10-01,17,TS,1,1,131,будни/осн.,2
2024-10-01,18,BVR,1,1,144,будни/осн.,2
2024-10-01,18,C,4,4,144,будни/осн.,2
2024-10-01,18,FF,1,1,144,будни/осн.,2
2024-10-01,18,K,6,6,144,будни/осн.,2
2024-10-01,18,TS,1,1,144,будни/осн.,2
2024-10-01,19,BVR,1,1,132,будни/осн.,2
2024-10-01,19,C,4,4,132,будни/осн.,2
2024-10-01,19,FF,1,1,132,будни/осн.,2
2024-10-01,19,K,6,6,132,будни/осн.,2
2024-10-01,19,TS,1,1,132,будни/осн.,2
2024-10-01,20,BVR,1,1,108,будни/осн.,2
2024-10-01,20,C,3,3,108,будни/осн.,2
2024-10-01,20,FF,1,1,108,будни/осн.,2
2024-10-01,20,K,5,5,108,будни/осн.,2
2024-10-01,20,TS,1,1,108,будни/осн.,2
2024-10-01,21,BVR,1,1,81,будни/осн.,2
2024-10-01,21,C,2,2,81,будни/осн.,2
2024-10-01,21,FF,1,1,81,будни/осн.,2
