week_period,monday,week_slug,train_week_total_guests,exit_code,is_valid,errors_count,solver_mode,total_shifts,feasibility_status,optimize_status
2019-01-08/2019-01-14,2019-01-08,2019-01-08_2019-01-14,8518.0,1,False,1,none,0,INFEASIBLE,SKIPPED_NO_STRICT_FEASIBILITY
2019-10-15/2019-10-21,2019-10-15,2019-10-15_2019-10-21,16155.0,1,False,1,none,0,INFEASIBLE,SKIPPED_NO_STRICT_FEASIBILITY
2020-07-21/2020-07-27,2020-07-21,2020-07-21_2020-07-27,9436.0,1,False,1,none,0,INFEASIBLE,SKIPPED_NO_STRICT_FEASIBILITY
2021-04-27/2021-05-03,2021-04-27,2021-04-27_2021-05-03,11133.0,1,False,1,none,0,INFEASIBLE,SKIPPED_NO_STRICT_FEASIBILITY
2022-02-01/2022-02-07,2022-02-01,2022-02-01_2022-02-07,10267.0,1,False,1,none,0,INFEASIBLE,SKIPPED_NO_STRICT_FEASIBILITY
2023-03-21/2023-03-27,2023-03-21,2023-03-21_2023-03-27,13306.0,1,False,1,none,0,INFEASIBLE,SKIPPED_NO_STRICT_FEASIBILITY
2023-12-26/2024-01-01,2023-12-26,2023-12-26_2024-01-01,9367.0,1,False,1,none,0,INFEASIBLE,SKIPPED_NO_STRICT_FEASIBILITY
2024-10-01/2024-10-07,2024-10-01,2024-10-01_2024-10-07,12939.0,1,False,1,none,0,INFEASIBLE,SKIPPED_NO_STRICT_FEASIBILITY
2025-07-08/2025-07-14,2025-07-08,2025-07-08_2025-07-14,12103.0,1,False,1,none,0,INFEASIBLE,SKIPPED_NO_STRICT_FEASIBILITY
2026-04-14/2026-04-20,2026-04-14,2026-04-14_2026-04-20,13003.0,1,False,1,none,0,INFEASIBLE,SKIPPED_NO_STRICT_FEASIBILITY
