candidate_id,employee_id,ds,weekday,station_key,starttime,finishtime,duration,shift_priority_raw,shift_penalty,station_priority,station_penalty_per_hour,station_penalty_hours,base_cost,selected,selected_final,selected_greedy_debug
0,0,2025-12-11,4,BVR,18,21,3,2,1,2,1,3,3184,0,False,False
1,0,2025-12-11,4,C,18,21,3,2,1,4,10,30,30184,0,False,False
2,0,2025-12-11,4,FF,18,21,3,2,1,1,0,0,184,0,False,False
3,0,2025-12-11,4,K,18,21,3,2,1,2,1,3,3184,0,False,False
4,0,2025-12-11,4,TS,18,21,3,2,1,2,1,3,3184,0,False,False
5,0,2025-12-11,4,BVR,19,22,3,2,1,2,1,3,3184,0,False,False
6,0,2025-12-11,4,C,19,22,3,2,1,4,10,30,30184,0,False,False
7,0,2025-12-11,4,FF,19,22,3,2,1,1,0,0,184,0,False,False
8,0,2025-12-11,4,K,19,22,3,2,1,2,1,3,3184,0,False,False
9,0,2025-12-11,4,TS,19,22,3,2,1,2,1,3,3184,0,False,False
10,0,2025-12-11,4,BVR,18,22,4,3,2,2,1,4,4222,0,False,False
11,0,2025-12-11,4,C,18,22,4,3,2,4,10,40,40222,0,False,False
12,0,2025-12-11,4,FF,18,22,4,3,2,1,0,0,222,0,False,False
13,0,2025-12-11,4,K,18,22,4,3,2,2,1,4,4222,0,False,False
14,0,2025-12-11,4,TS,18,22,4,3,2,2,1,4,4222,0,False,False
15,0,2025-12-12,5,BVR,18,21,3,2,1,2,1,3,3184,0,False,False
16,0,2025-12-12,5,C,18,21,3,2,1,4,10,30,30184,0,False,False
17,0,2025-12-12,5,FF,18,21,3,2,1,1,0,0,184,0,False,False
18,0,2025-12-12,5,K,18,21,3,2,1,2,1,3,3184,0,False,False
19,0,2025-12-12,5,TS,18,21,3,2,1,2,1,3,3184,0,False,False
20,0,2025-12-12,5,BVR,19,22,3,2,1,2,1,3,3184,0,False,False
21,0,2025-12-12,5,C,19,22,3,2,1,4,10,30,30184,0,False,False
22,0,2025-12-12,5,FF,19,22,3,2,1,1,0,0,184,0,False,False
23,0,2025-12-12,5,K,19,22,3,2,1,2,1,3,3184,0,False,False
24,0,2025-12-12,5,TS,19,22,3,2,1,2,1,3,3184,0,False,False
25,0,2025-12-12,5,BVR,18,22,4,3,2,2,1,4,4222,0,False,False
26,0,2025-12-12,5,C,18,22,4,3,2,4,10,40,40222,0,False,False
27,0,2025-12-12,5,FF,18,22,4,3,2,1,0,0,222,0,False,False
28,0,2025-12-12,5,K,18,22,4,3,2,2,1,4,4222,0,False,False
29,0,2025-12-12,5,TS,18,22,4,3,2,2,1,4,4222,0,False,False
30,0,2025-12-13,6,BVR,18,21,3,2,1,2,1,3,3184,0,False,False
31,0,2025-12-13,6,C,18,21,3,2,1,4,10,30,30184,0,False,False
32,0,2025-12-13,6,FF,18,21,3,2,1,1,0,0,184,0,False,False
33,0,2025-12-13,6,K,18,21,3,2,1,2,1,3,3184,0,False,False
34,0,2025-12-13,6,TS,18,21,3,2,1,2,1,3,3184,0,False,False
35,0,2025-12-13,6,BVR,19,22,3,2,1,2,1,3,3184,0,False,False
36,0,2025-12-13,6,C,19,22,3,2,1,4,10,30,30184,0,False,False
37,0,2025-12-13,6,FF,19,22,3,2,1,1,0,0,184,0,False,False
38,0,2025-12-13,6,K,19,22,3,2,1,2,1,3,3184,0,False,False
39,0,2025-12-13,6,TS,19,22,3,2,1,2,1,3,3184,0,False,False
40,0,2025-12-13,6,BVR,18,22,4,3,2,2,1,4,4222,0,False,False
41,0,2025-12-13,6,C,18,22,4,3,2,4,10,40,40222,0,False,False
42,0,2025-12-13,6,FF,18,22,4,3,2,1,0,0,222,0,False,False
