ds,hour,station_key,required_labor,raw_reqlabor,guests_count,version,weekday
2025-12-09,7,BVR,1,1,50,будни/утр.,2
2025-12-09,7,C,2,2,50,будни/утр.,2
2025-12-09,7,FF,1,1,50,будни/утр.,2
2025-12-09,7,K,3,3,50,будни/утр.,2
2025-12-09,7,TS,1,1,50,будни/утр.,2
2025-12-09,8,BVR,1,1,85,будни/утр.,2
2025-12-09,8,C,2,2,85,будни/утр.,2
2025-12-09,8,FF,1,1,85,будни/утр.,2
2025-12-09,8,K,5,5,85,будни/утр.,2
2025-12-09,8,TS,1,1,85,будни/утр.,2
2025-12-09,9,BVR,1,1,89,будни/утр.,2
2025-12-09,9,C,2,2,89,будни/утр.,2
2025-12-09,9,FF,1,1,89,будни/утр.,2
2025-12-09,9,K,5,5,89,будни/утр.,2
2025-12-09,9,TS,1,1,89,будни/утр.,2
2025-12-09,10,BVR,1,1,79,будни/осн.,2
2025-12-09,10,C,2,2,79,будни/осн.,2
2025-12-09,10,FF,1,1,79,будни/осн.,2
2025-12-09,10,K,5,5,79,будни/осн.,2
2025-12-09,10,TS,1,1,79,будни/осн.,2
2025-12-09,11,BVR,1,1,101,будни/осн.,2
2025-12-09,11,C,2,2,101,будни/осн.,2
2025-12-09,11,FF,1,1,101,будни/осн.,2
2025-12-09,11,K,5,5,101,будни/осн.,2
2025-12-09,11,TS,1,1,101,будни/осн.,2
2025-12-09,12,BVR,1,1,189,будни/осн.,2
2025-12-09,12,C,5,5,189,будни/осн.,2
2025-12-09,12,FF,1,1,189,будни/осн.,2
2025-12-09,12,K,7,7,189,будни/осн.,2
2025-12-09,12,TS,1,1,189,будни/осн.,2
2025-12-09,13,BVR,1,1,184,будни/осн.,2
2025-12-09,13,C,5,5,184,будни/осн.,2
2025-12-09,13,FF,1,1,184,будни/осн.,2
2025-12-09,13,K,7,7,184,будни/осн.,2
2025-12-09,13,TS,1,1,184,будни/осн.,2
2025-12-09,14,BVR,1,1,152,будни/осн.,2
2025-12-09,14,C,4,4,152,будни/осн.,2
2025-12-09,14,FF,1,1,152,будни/осн.,2
2025-12-09,14,K,6,6,152,будни/осн.,2
2025-12-09,14,TS,1,1,152,будни/осн.,2
2025-12-09,15,BVR,1,1,138,будни/осн.,2
2025-12-09,15,C,4,4,138,будни/осн.,2
2025-12-09,15,FF,1,1,138,будни/осн.,2
2025-12-09,15,K,6,6,138,будни/осн.,2
2025-12-09,15,TS,1,1,138,будни/осн.,2
2025-12-09,16,BVR,1,1,129,будни/осн.,2
2025-12-09,16,C,4,4,129,будни/осн.,2
2025-12-09,16,FF,1,1,129,будни/осн.,2
2025-12-09,16,K,5,5,129,будни/осн.,2
2025-12-09,16,TS,1,1,129,будни/осн.,2
2025-12-09,17,BVR,1,1,131,будни/осн.,2
2025-12-09,17,C,4,4,131,будни/осн.,2
2025-12-09,17,FF,1,1,131,будни/осн.,2
2025-12-09,17,K,5,5,131,будни/осн.,2
2025-12-09,17,TS,1,1,131,будни/осн.,2
2025-12-09,18,BVR,1,1,144,будни/осн.,2
2025-12-09,18,C,4,4,144,будни/осн.,2
2025-12-09,18,FF,1,1,144,будни/осн.,2
2025-12-09,18,K,6,6,144,будни/осн.,2
2025-12-09,18,TS,1,1,144,будни/осн.,2
2025-12-09,19,BVR,1,1,132,будни/осн.,2
2025-12-09,19,C,4,4,132,будни/осн.,2
2025-12-09,19,FF,1,1,132,будни/осн.,2
2025-12-09,19,K,6,6,132,будни/осн.,2
2025-12-09,19,TS,1,1,132,будни/осн.,2
2025-12-09,20,BVR,1,1,108,будни/осн.,2
