sale_date,sale_hour,guests_count
2026-04-27,7,48
2026-04-27,8,79
2026-04-27,9,87
2026-04-27,10,72
2026-04-27,11,98
2026-04-27,12,165
2026-04-27,13,177
2026-04-27,14,143
2026-04-27,15,133
2026-04-27,16,122
2026-04-27,17,121
2026-04-27,18,135
2026-04-27,19,119
2026-04-27,20,105
2026-04-27,21,81
2026-04-27,22,63
2026-04-28,7,50
2026-04-28,8,85
2026-04-28,9,89
2026-04-28,10,79
2026-04-28,11,101
2026-04-28,12,189
2026-04-28,13,184
2026-04-28,14,152
2026-04-28,15,138
2026-04-28,16,129
2026-04-28,17,131
2026-04-28,18,144
2026-04-28,19,132
2026-04-28,20,108
2026-04-28,21,81
2026-04-28,22,68
2026-04-29,7,51
2026-04-29,8,81
2026-04-29,9,93
2026-04-29,10,85
2026-04-29,11,103
2026-04-29,12,177
2026-04-29,13,190
2026-04-29,14,151
2026-04-29,15,136
2026-04-29,16,126
2026-04-29,17,137
2026-04-29,18,143
2026-04-29,19,135
2026-04-29,20,111
2026-04-29,21,88
2026-04-29,22,68
2026-04-30,7,51
2026-04-30,8,88
2026-04-30,9,100
2026-04-30,10,82
2026-04-30,11,102
2026-04-30,12,176
2026-04-30,13,192
2026-04-30,14,152
2026-04-30,15,145
2026-04-30,16,130
2026-04-30,17,135
2026-04-30,18,149
2026-04-30,19,136
2026-04-30,20,114
2026-04-30,21,94
2026-04-30,22,76
2026-05-01,7,59
2026-05-01,8,94
2026-05-01,9,102
2026-05-01,10,87
2026-05-01,11,104
2026-05-01,12,190
2026-05-01,13,206
2026-05-01,14,167
2026-05-01,15,154
2026-05-01,16,142
2026-05-01,17,152
2026-05-01,18,164
2026-05-01,19,148
2026-05-01,20,129
2026-05-01,21,112
2026-05-01,22,94
2026-05-02,7,27
2026-05-02,8,54
2026-05-02,9,65
2026-05-02,10,68
2026-05-02,11,88
2026-05-02,12,117
2026-05-02,13,135
2026-05-02,14,139
2026-05-02,15,139
2026-05-02,16,138
2026-05-02,17,150
2026-05-02,18,143
2026-05-02,19,132
2026-05-02,20,115
2026-05-02,21,95
2026-05-02,22,85
2026-05-03,7,21
2026-05-03,8,34
2026-05-03,9,49
2026-05-03,10,55
2026-05-03,11,60
2026-05-03,12,85
2026-05-03,13,109
2026-05-03,14,116
2026-05-03,15,128
2026-05-03,16,120
2026-05-03,17,123
2026-05-03,18,127
2026-05-03,19,112
2026-05-03,20,94
2026-05-03,21,79
2026-05-03,22,69
