ds,hour,station_key,required_labor,raw_reqlabor,guests_count,version,weekday
2026-04-27,7,BVR,1,1,39,будни/утр.,1
2026-04-27,7,C,2,2,39,будни/утр.,1
2026-04-27,7,FF,1,1,39,будни/утр.,1
2026-04-27,7,K,2,2,39,будни/утр.,1
2026-04-27,7,TS,1,1,39,будни/утр.,1
2026-04-27,8,BVR,1,1,60,будни/утр.,1
2026-04-27,8,C,2,2,60,будни/утр.,1
2026-04-27,8,FF,1,1,60,будни/утр.,1
2026-04-27,8,K,3,3,60,будни/утр.,1
2026-04-27,8,TS,1,1,60,будни/утр.,1
2026-04-27,9,BVR,1,1,73,будни/утр.,1
2026-04-27,9,C,2,2,73,будни/утр.,1
2026-04-27,9,FF,1,1,73,будни/утр.,1
2026-04-27,9,K,4,4,73,будни/утр.,1
2026-04-27,9,TS,1,1,73,будни/утр.,1
2026-04-27,10,BVR,1,1,66,будни/осн.,1
2026-04-27,10,C,2,2,66,будни/осн.,1
2026-04-27,10,FF,1,1,66,будни/осн.,1
2026-04-27,10,K,4,4,66,будни/осн.,1
2026-04-27,10,TS,1,1,66,будни/осн.,1
2026-04-27,11,BVR,1,1,83,будни/осн.,1
2026-04-27,11,C,2,2,83,будни/осн.,1
2026-04-27,11,FF,1,1,83,будни/осн.,1
2026-04-27,11,K,5,5,83,будни/осн.,1
2026-04-27,11,TS,1,1,83,будни/осн.,1
2026-04-27,12,BVR,1,1,129,будни/осн.,1
2026-04-27,12,C,4,4,129,будни/осн.,1
2026-04-27,12,FF,1,1,129,будни/осн.,1
2026-04-27,12,K,5,5,129,будни/осн.,1
2026-04-27,12,TS,1,1,129,будни/осн.,1
2026-04-27,13,BVR,1,1,146,будни/осн.,1
2026-04-27,13,C,4,4,146,будни/осн.,1
2026-04-27,13,FF,1,1,146,будни/осн.,1
2026-04-27,13,K,6,6,146,будни/осн.,1
2026-04-27,13,TS,1,1,146,будни/осн.,1
2026-04-27,14,BVR,1,1,139,будни/осн.,1
2026-04-27,14,C,4,4,139,будни/осн.,1
2026-04-27,14,FF,1,1,139,будни/осн.,1
2026-04-27,14,K,6,6,139,будни/осн.,1
2026-04-27,14,TS,1,1,139,будни/осн.,1
2026-04-27,15,BVR,1,1,133,будни/осн.,1
2026-04-27,15,C,4,4,133,будни/осн.,1
2026-04-27,15,FF,1,1,133,будни/осн.,1
2026-04-27,15,K,6,6,133,будни/осн.,1
2026-04-27,15,TS,1,1,133,будни/осн.,1
2026-04-27,16,BVR,1,1,124,будни/осн.,1
2026-04-27,16,C,3,3,124,будни/осн.,1
2026-04-27,16,FF,1,1,124,будни/осн.,1
2026-04-27,16,K,5,5,124,будни/осн.,1
2026-04-27,16,TS,1,1,124,будни/осн.,1
2026-04-27,17,BVR,1,1,126,будни/осн.,1
2026-04-27,17,C,4,4,126,будни/осн.,1
2026-04-27,17,FF,1,1,126,будни/осн.,1
2026-04-27,17,K,5,5,126,будни/осн.,1
2026-04-27,17,TS,1,1,126,будни/осн.,1
2026-04-27,18,BVR,1,1,129,будни/осн.,1
2026-04-27,18,C,4,4,129,будни/осн.,1
2026-04-27,18,FF,1,1,129,будни/осн.,1
2026-04-27,18,K,5,5,129,будни/осн.,1
2026-04-27,18,TS,1,1,129,будни/осн.,1
2026-04-27,19,BVR,1,1,119,будни/осн.,1
2026-04-27,19,C,3,3,119,будни/осн.,1
2026-04-27,19,FF,1,1,119,будни/осн.,1
2026-04-27,19,K,5,5,119,будни/осн.,1
2026-04-27,19,TS,1,1,119,будни/осн.,1
2026-04-27,20,BVR,1,1,104,будни/осн.,1
2026-04-27,20,C,3,3,104,будни/осн.,1
2026-04-27,20,FF,1,1,104,будни/осн.,1
2026-04-27,20,K,5,5,104,будни/осн.,1
2026-04-27,20,TS,1,1,104,будни/осн.,1
2026-04-27,21,BVR,1,1,87,будни/осн.,1
2026-04-27,21,C,2,2,87,будни/осн.,1
2026-04-27,21,FF,1,1,87,будни/осн.,1
2026-04-27,21,K,5,5,87,будни/осн.,1
2026-04-27,21,TS,1,1,87,будни/осн.,1
2026-04-27,22,BVR,1,1,76,будни/осн.,1
2026-04-27,22,C,2,2,76,будни/осн.,1
2026-04-27,22,FF,1,1,76,будни/осн.,1
2026-04-27,22,K,5,5,76,будни/осн.,1
2026-04-27,22,TS,1,1,76,будни/осн.,1
2026-04-28,7,BVR,1,1,45,будни/утр.,2
2026-04-28,7,C,2,2,45,будни/утр.,2
2026-04-28,7,FF,1,1,45,будни/утр.,2
2026-04-28,7,K,3,3,45,будни/утр.,2
2026-04-28,7,TS,1,1,45,будни/утр.,2
2026-04-28,8,BVR,1,1,76,будни/утр.,2
2026-04-28,8,C,2,2,76,будни/утр.,2
2026-04-28,8,FF,1,1,76,будни/утр.,2
2026-04-28,8,K,4,4,76,будни/утр.,2
2026-04-28,8,TS,1,1,76,будни/утр.,2
2026-04-28,9,BVR,1,1,86,будни/утр.,2
2026-04-28,9,C,2,2,86,будни/утр.,2
2026-04-28,9,FF,1,1,86,будни/утр.,2
2026-04-28,9,K,5,5,86,будни/утр.,2
2026-04-28,9,TS,1,1,86,будни/утр.,2
2026-04-28,10,BVR,1,1,74,будни/осн.,2
2026-04-28,10,C,2,2,74,будни/осн.,2
2026-04-28,10,FF,1,1,74,будни/осн.,2
2026-04-28,10,K,5,5,74,будни/осн.,2
2026-04-28,10,TS,1,1,74,будни/осн.,2
2026-04-28,11,BVR,1,1,103,будни/осн.,2
2026-04-28,11,C,3,3,103,будни/осн.,2
2026-04-28,11,FF,1,1,103,будни/осн.,2
2026-04-28,11,K,5,5,103,будни/осн.,2
2026-04-28,11,TS,1,1,103,будни/осн.,2
2026-04-28,12,BVR,1,1,159,будни/осн.,2
2026-04-28,12,C,5,5,159,будни/осн.,2
2026-04-28,12,FF,1,1,159,будни/осн.,2
2026-04-28,12,K,7,7,159,будни/осн.,2
