ds,hour,station_key,guests_count,version,required,actual,diff,status
2026-04-27,7,BVR,49,будни/утр.,1,1,0,exact
2026-04-27,7,C,49,будни/утр.,2,2,0,exact
2026-04-27,7,FF,49,будни/утр.,1,1,0,exact
2026-04-27,7,K,49,будни/утр.,3,3,0,exact
2026-04-27,7,TS,49,будни/утр.,1,1,0,exact
2026-04-27,8,BVR,68,будни/утр.,1,1,0,exact
2026-04-27,8,C,68,будни/утр.,2,2,0,exact
2026-04-27,8,FF,68,будни/утр.,1,1,0,exact
2026-04-27,8,K,68,будни/утр.,4,4,0,exact
2026-04-27,8,TS,68,будни/утр.,1,1,0,exact
2026-04-27,9,BVR,73,будни/утр.,1,1,0,exact
2026-04-27,9,C,73,будни/утр.,2,2,0,exact
2026-04-27,9,FF,73,будни/утр.,1,1,0,exact
2026-04-27,9,K,73,будни/утр.,4,4,0,exact
2026-04-27,9,TS,73,будни/утр.,1,1,0,exact
2026-04-27,10,BVR,68,будни/осн.,1,1,0,exact
2026-04-27,10,C,68,будни/осн.,2,2,0,exact
2026-04-27,10,FF,68,будни/осн.,1,1,0,exact
2026-04-27,10,K,68,будни/осн.,4,4,0,exact
2026-04-27,10,TS,68,будни/осн.,1,1,0,exact
2026-04-27,11,BVR,80,будни/осн.,1,1,0,exact
2026-04-27,11,C,80,будни/осн.,2,2,0,exact
2026-04-27,11,FF,80,будни/осн.,1,1,0,exact
2026-04-27,11,K,80,будни/осн.,5,5,0,exact
2026-04-27,11,TS,80,будни/осн.,1,1,0,exact
2026-04-27,12,BVR,143,будни/осн.,1,1,0,exact
2026-04-27,12,C,143,будни/осн.,4,4,0,exact
2026-04-27,12,FF,143,будни/осн.,1,1,0,exact
2026-04-27,12,K,143,будни/осн.,6,6,0,exact
2026-04-27,12,TS,143,будни/осн.,1,1,0,exact
2026-04-27,13,BVR,153,будни/осн.,1,1,0,exact
2026-04-27,13,C,153,будни/осн.,4,4,0,exact
2026-04-27,13,FF,153,будни/осн.,1,1,0,exact
2026-04-27,13,K,153,будни/осн.,6,6,0,exact
2026-04-27,13,TS,153,будни/осн.,1,1,0,exact
2026-04-27,14,BVR,141,будни/осн.,1,1,0,exact
2026-04-27,14,C,141,будни/осн.,4,4,0,exact
2026-04-27,14,FF,141,будни/осн.,1,1,0,exact
2026-04-27,14,K,141,будни/осн.,6,6,0,exact
2026-04-27,14,TS,141,будни/осн.,1,1,0,exact
2026-04-27,15,BVR,132,будни/осн.,1,1,0,exact
