employee_id,total_hours,working_days,shifts,avg_shift_duration,stations_used
0,3,1,1,3.0,K
1,40,5,5,8.0,"K,TS"
2,37,5,5,7.4,"C,FF,TS"
3,32,5,5,6.4,"BVR,FF,TS"
4,40,5,5,8.0,"K,TS"
5,17,5,5,3.4,K
6,30,5,5,6.0,C
7,39,5,5,7.8,K
8,38,5,5,7.6,"BVR,C,K,TS"
9,4,1,1,4.0,C
10,4,1,1,4.0,TS
11,40,5,5,8.0,K
12,3,1,1,3.0,TS
13,7,2,2,3.5,"BVR,C"
14,40,5,5,8.0,K
15,39,5,5,7.8,"BVR,C,K"
16,10,3,3,3.33,C
17,39,5,5,7.8,"BVR,K,TS"
18,15,4,4,3.75,C
19,37,5,5,7.4,"C,FF,TS"
20,28,4,4,7.0,"BVR,FF,TS"
21,9,3,3,3.0,K
22,8,2,2,4.0,"C,TS"
23,16,2,2,8.0,K
24,3,1,1,3.0,C
25,9,3,3,3.0,C
26,3,1,1,3.0,FF
27,17,5,5,3.4,C
28,36,5,5,7.2,"BVR,K"
29,3,1,1,3.0,C
30,18,4,4,4.5,C
31,40,5,5,8.0,"C,K"
32,40,5,5,8.0,C
33,26,5,5,5.2,"C,FF,TS"
34,12,3,3,4.0,C
35,3,1,1,3.0,C
36,19,4,4,4.75,"C,FF"
37,12,4,4,3.0,C
38,21,4,4,5.25,"C,TS"
39,9,3,3,3.0,C
40,6,2,2,3.0,K
41,17,5,5,3.4,C
42,9,3,3,3.0,C
43,39,5,5,7.8,K
44,40,5,5,8.0,"BVR,C,K"
45,22,5,5,4.4,"C,K"
46,3,1,1,3.0,C
47,40,5,5,8.0,"BVR,C,FF,TS"
48,3,1,1,3.0,BVR
49,4,1,1,4.0,K
50,22,4,4,5.5,"BVR,C,FF"
51,11,3,3,3.67,"BVR,C"
52,40,5,5,8.0,"K,TS"
53,3,1,1,3.0,BVR
54,39,5,5,7.8,"BVR,K,TS"
55,7,2,2,3.5,C
56,18,3,3,6.0,K
57,4,1,1,4.0,C
58,3,1,1,3.0,FF
59,39,5,5,7.8,K
60,3,1,1,3.0,TS
61,3,1,1,3.0,K
62,3,1,1,3.0,TS
63,3,1,1,3.0,C
64,3,1,1,3.0,K
65,3,1,1,3.0,K
66,40,5,5,8.0,"C,K"
67,3,1,1,3.0,K
68,16,2,2,8.0,C
