ds,hour,station_key,required_labor,raw_reqlabor,guests_count,version,weekday
2026-04-27,7,BVR,1,1,49,будни/утр.,1
2026-04-27,7,C,2,2,49,будни/утр.,1
2026-04-27,7,FF,1,1,49,будни/утр.,1
2026-04-27,7,K,3,3,49,будни/утр.,1
2026-04-27,7,TS,1,1,49,будни/утр.,1
2026-04-27,8,BVR,1,1,68,будни/утр.,1
2026-04-27,8,C,2,2,68,будни/утр.,1
2026-04-27,8,FF,1,1,68,будни/утр.,1
2026-04-27,8,K,4,4,68,будни/утр.,1
2026-04-27,8,TS,1,1,68,будни/утр.,1
2026-04-27,9,BVR,1,1,73,будни/утр.,1
2026-04-27,9,C,2,2,73,будни/утр.,1
2026-04-27,9,FF,1,1,73,будни/утр.,1
2026-04-27,9,K,4,4,73,будни/утр.,1
2026-04-27,9,TS,1,1,73,будни/утр.,1
2026-04-27,10,BVR,1,1,68,будни/осн.,1
2026-04-27,10,C,2,2,68,будни/осн.,1
2026-04-27,10,FF,1,1,68,будни/осн.,1
2026-04-27,10,K,4,4,68,будни/осн.,1
2026-04-27,10,TS,1,1,68,будни/осн.,1
2026-04-27,11,BVR,1,1,80,будни/осн.,1
2026-04-27,11,C,2,2,80,будни/осн.,1
2026-04-27,11,FF,1,1,80,будни/осн.,1
2026-04-27,11,K,5,5,80,будни/осн.,1
2026-04-27,11,TS,1,1,80,будни/осн.,1
2026-04-27,12,BVR,1,1,143,будни/осн.,1
2026-04-27,12,C,4,4,143,будни/осн.,1
2026-04-27,12,FF,1,1,143,будни/осн.,1
2026-04-27,12,K,6,6,143,будни/осн.,1
2026-04-27,12,TS,1,1,143,будни/осн.,1
2026-04-27,13,BVR,1,1,153,будни/осн.,1
2026-04-27,13,C,4,4,153,будни/осн.,1
2026-04-27,13,FF,1,1,153,будни/осн.,1
2026-04-27,13,K,6,6,153,будни/осн.,1
2026-04-27,13,TS,1,1,153,будни/осн.,1
2026-04-27,14,BVR,1,1,141,будни/осн.,1
2026-04-27,14,C,4,4,141,будни/осн.,1
2026-04-27,14,FF,1,1,141,будни/осн.,1
2026-04-27,14,K,6,6,141,будни/осн.,1
2026-04-27,14,TS,1,1,141,будни/осн.,1
2026-04-27,15,BVR,1,1,132,будни/осн.,1
2026-04-27,15,C,4,4,132,будни/осн.,1
2026-04-27,15,FF,1,1,132,будни/осн.,1
2026-04-27,15,K,6,6,132,будни/осн.,1
2026-04-27,15,TS,1,1,132,будни/осн.,1
2026-04-27,16,BVR,1,1,124,будни/осн.,1
2026-04-27,16,C,3,3,124,будни/осн.,1
2026-04-27,16,FF,1,1,124,будни/осн.,1
2026-04-27,16,K,5,5,124,будни/осн.,1
2026-04-27,16,TS,1,1,124,будни/осн.,1
2026-04-27,17,BVR,1,1,128,будни/осн.,1
2026-04-27,17,C,4,4,128,будни/осн.,1
2026-04-27,17,FF,1,1,128,будни/осн.,1
2026-04-27,17,K,5,5,128,будни/осн.,1
2026-04-27,17,TS,1,1,128,будни/осн.,1
2026-04-27,18,BVR,1,1,134,будни/осн.,1
2026-04-27,18,C,4,4,134,будни/осн.,1
2026-04-27,18,FF,1,1,134,будни/осн.,1
2026-04-27,18,K,6,6,134,будни/осн.,1
2026-04-27,18,TS,1,1,134,будни/осн.,1
2026-04-27,19,BVR,1,1,125,будни/осн.,1
2026-04-27,19,C,4,4,125,будни/осн.,1
2026-04-27,19,FF,1,1,125,будни/осн.,1
2026-04-27,19,K,5,5,125,будни/осн.,1
2026-04-27,19,TS,1,1,125,будни/осн.,1
2026-04-27,20,BVR,1,1,109,будни/осн.,1
2026-04-27,20,C,3,3,109,будни/осн.,1
2026-04-27,20,FF,1,1,109,будни/осн.,1
2026-04-27,20,K,5,5,109,будни/осн.,1
2026-04-27,20,TS,1,1,109,будни/осн.,1
2026-04-27,21,BVR,1,1,92,будни/осн.,1
2026-04-27,21,C,2,2,92,будни/осн.,1
2026-04-27,21,FF,1,1,92,будни/осн.,1
2026-04-27,21,K,5,5,92,будни/осн.,1
2026-04-27,21,TS,1,1,92,будни/осн.,1
2026-04-27,22,BVR,1,1,77,будни/осн.,1
2026-04-27,22,C,2,2,77,будни/осн.,1
2026-04-27,22,FF,1,1,77,будни/осн.,1
2026-04-27,22,K,5,5,77,будни/осн.,1
2026-04-27,22,TS,1,1,77,будни/осн.,1
2026-04-28,7,BVR,1,1,59,будни/утр.,2
2026-04-28,7,C,2,2,59,будни/утр.,2
2026-04-28,7,FF,1,1,59,будни/утр.,2
2026-04-28,7,K,3,3,59,будни/утр.,2
2026-04-28,7,TS,1,1,59,будни/утр.,2
2026-04-28,8,BVR,1,1,74,будни/утр.,2
2026-04-28,8,C,2,2,74,будни/утр.,2
2026-04-28,8,FF,1,1,74,будни/утр.,2
2026-04-28,8,K,4,4,74,будни/утр.,2
2026-04-28,8,TS,1,1,74,будни/утр.,2
2026-04-28,9,BVR,1,1,77,будни/утр.,2
2026-04-28,9,C,2,2,77,будни/утр.,2
2026-04-28,9,FF,1,1,77,будни/утр.,2
2026-04-28,9,K,4,4,77,будни/утр.,2
2026-04-28,9,TS,1,1,77,будни/утр.,2
2026-04-28,10,BVR,1,1,69,будни/осн.,2
2026-04-28,10,C,2,2,69,будни/осн.,2
2026-04-28,10,FF,1,1,69,будни/осн.,2
2026-04-28,10,K,4,4,69,будни/осн.,2
2026-04-28,10,TS,1,1,69,будни/осн.,2
2026-04-28,11,BVR,1,1,80,будни/осн.,2
2026-04-28,11,C,2,2,80,будни/осн.,2
2026-04-28,11,FF,1,1,80,будни/осн.,2
2026-04-28,11,K,5,5,80,будни/осн.,2
2026-04-28,11,TS,1,1,80,будни/осн.,2
2026-04-28,12,BVR,1,1,143,будни/осн.,2
2026-04-28,12,C,4,4,143,будни/осн.,2
2026-04-28,12,FF,1,1,143,будни/осн.,2
2026-04-28,12,K,6,6,143,будни/осн.,2
2026-04-28,12,TS,1,1,143,будни/осн.,2
2026-04-28,13,BVR,1,1,156,будни/осн.,2
2026-04-28,13,C,5,5,156,будни/осн.,2
2026-04-28,13,FF,1,1,156,будни/осн.,2
2026-04-28,13,K,6,6,156,будни/осн.,2
2026-04-28,13,TS,1,1,156,будни/осн.,2
2026-04-28,14,BVR,1,1,140,будни/осн.,2
2026-04-28,14,C,4,4,140,будни/осн.,2
2026-04-28,14,FF,1,1,140,будни/осн.,2
2026-04-28,14,K,6,6,140,будни/осн.,2
2026-04-28,14,TS,1,1,140,будни/осн.,2
2026-04-28,15,BVR,1,1,134,будни/осн.,2
2026-04-28,15,C,4,4,134,будни/осн.,2
2026-04-28,15,FF,1,1,134,будни/осн.,2
2026-04-28,15,K,6,6,134,будни/осн.,2
2026-04-28,15,TS,1,1,134,будни/осн.,2
2026-04-28,16,BVR,1,1,124,будни/осн.,2
2026-04-28,16,C,3,3,124,будни/осн.,2
2026-04-28,16,FF,1,1,124,будни/осн.,2
2026-04-28,16,K,5,5,124,будни/осн.,2
2026-04-28,16,TS,1,1,124,будни/осн.,2
2026-04-28,17,BVR,1,1,128,будни/осн.,2
2026-04-28,17,C,4,4,128,будни/осн.,2
2026-04-28,17,FF,1,1,128,будни/осн.,2
2026-04-28,17,K,5,5,128,будни/осн.,2
2026-04-28,17,TS,1,1,128,будни/осн.,2
2026-04-28,18,BVR,1,1,135,будни/осн.,2
2026-04-28,18,C,4,4,135,будни/осн.,2
2026-04-28,18,FF,1,1,135,будни/осн.,2
2026-04-28,18,K,6,6,135,будни/осн.,2
2026-04-28,18,TS,1,1,135,будни/осн.,2
2026-04-28,19,BVR,1,1,125,будни/осн.,2
2026-04-28,19,C,4,4,125,будни/осн.,2
2026-04-28,19,FF,1,1,125,будни/осн.,2
2026-04-28,19,K,5,5,125,будни/осн.,2
2026-04-28,19,TS,1,1,125,будни/осн.,2
2026-04-28,20,BVR,1,1,109,будни/осн.,2
2026-04-28,20,C,3,3,109,будни/осн.,2
2026-04-28,20,FF,1,1,109,будни/осн.,2
2026-04-28,20,K,5,5,109,будни/осн.,2
2026-04-28,20,TS,1,1,109,будни/осн.,2
2026-04-28,21,BVR,1,1,92,будни/осн.,2
2026-04-28,21,C,2,2,92,будни/осн.,2
2026-04-28,21,FF,1,1,92,будни/осн.,2
2026-04-28,21,K,5,5,92,будни/осн.,2
2026-04-28,21,TS,1,1,92,будни/осн.,2
2026-04-28,22,BVR,1,1,78,будни/осн.,2
2026-04-28,22,C,2,2,78,будни/осн.,2
2026-04-28,22,FF,1,1,78,будни/осн.,2
2026-04-28,22,K,5,5,78,будни/осн.,2
2026-04-28,22,TS,1,1,78,будни/осн.,2
2026-04-29,7,BVR,1,1,60,будни/утр.,3
