ds,station_key,employee_id,starttime,finishtime
2026-04-27,BVR,47,7,16
2026-04-27,BVR,50,16,23
2026-04-27,C,6,7,14
2026-04-27,C,32,7,16
2026-04-27,C,38,12,17
2026-04-27,C,45,12,16
2026-04-27,C,37,14,17
2026-04-27,C,27,16,19
2026-04-27,C,39,17,20
2026-04-27,C,41,17,21
2026-04-27,C,42,17,20
2026-04-27,C,30,19,23
2026-04-27,C,33,20,23
2026-04-27,FF,2,7,16
2026-04-27,FF,3,16,23
2026-04-27,K,14,7,15
2026-04-27,K,43,7,16
2026-04-27,K,44,7,16
2026-04-27,K,8,8,15
2026-04-27,K,61,11,14
2026-04-27,K,5,12,15
2026-04-27,K,15,14,23
2026-04-27,K,11,15,23
2026-04-27,K,17,15,23
2026-04-27,K,54,15,23
2026-04-27,K,40,16,19
2026-04-27,K,59,18,23
2026-04-27,TS,19,7,16
2026-04-27,TS,20,16,23
2026-04-28,BVR,8,7,16
2026-04-28,BVR,3,16,23
2026-04-28,C,19,7,10
2026-04-28,C,31,7,14
2026-04-28,C,6,10,18
2026-04-28,C,38,12,16
2026-04-28,C,45,12,16
2026-04-28,C,18,13,16
2026-04-28,C,27,16,20
2026-04-28,C,34,16,20
2026-04-28,C,39,17,20
2026-04-28,C,41,18,21
2026-04-28,C,35,20,23
2026-04-28,C,46,20,23
2026-04-28,FF,36,7,16
2026-04-28,FF,20,16,23
2026-04-28,K,17,7,16
2026-04-28,K,28,7,15
2026-04-28,K,43,7,15
2026-04-28,K,44,8,15
2026-04-28,K,5,11,14
2026-04-28,K,14,12,19
2026-04-28,K,59,14,23
2026-04-28,K,11,15,23
2026-04-28,K,52,15,23
2026-04-28,K,66,15,23
2026-04-28,K,7,18,23
2026-04-28,TS,1,7,14
2026-04-28,TS,54,14,23
2026-04-29,BVR,47,7,16
2026-04-29,BVR,3,16,23
2026-04-29,C,15,7,14
2026-04-29,C,32,7,16
2026-04-29,C,16,12,16
2026-04-29,C,22,12,15
2026-04-29,C,18,13,17
2026-04-29,C,37,15,18
2026-04-29,C,27,16,19
2026-04-29,C,34,16,20
2026-04-29,C,41,17,20
2026-04-29,C,24,18,21
2026-04-29,C,30,19,23
2026-04-29,C,33,20,23
2026-04-29,FF,19,7,16
2026-04-29,FF,20,16,23
2026-04-29,K,4,7,15
2026-04-29,K,28,7,14
2026-04-29,K,43,7,16
2026-04-29,K,59,8,16
2026-04-29,K,5,10,14
2026-04-29,K,45,12,15
2026-04-29,K,1,14,23
2026-04-29,K,17,14,23
2026-04-29,K,7,15,23
2026-04-29,K,11,15,23
2026-04-29,K,40,16,19
2026-04-29,K,52,18,23
2026-04-29,TS,8,7,14
2026-04-29,TS,2,14,23
2026-04-30,BVR,28,7,16
2026-04-30,BVR,20,16,23
2026-04-30,C,32,7,16
2026-04-30,C,44,7,14
2026-04-30,C,45,12,17
2026-04-30,C,51,12,16
2026-04-30,C,38,13,17
2026-04-30,C,27,16,20
2026-04-30,C,34,16,20
2026-04-30,C,39,17,20
2026-04-30,C,41,17,21
2026-04-30,C,33,20,23
2026-04-30,C,36,20,23
2026-04-30,FF,47,7,14
2026-04-30,FF,50,14,23
2026-04-30,K,1,7,15
2026-04-30,K,4,7,16
2026-04-30,K,8,7,15
2026-04-30,K,66,8,16
2026-04-30,K,56,11,14
2026-04-30,K,23,12,19
2026-04-30,K,15,14,23
2026-04-30,K,7,15,23
2026-04-30,K,31,15,23
2026-04-30,K,14,16,23
2026-04-30,K,43,18,23
2026-04-30,TS,52,7,16
2026-04-30,TS,3,16,23
2026-05-01,BVR,17,7,16
2026-05-01,BVR,53,16,19
2026-05-01,BVR,3,19,23
2026-05-01,C,8,7,14
2026-05-01,C,32,7,16
2026-05-01,C,45,11,17
2026-05-01,C,51,12,16
2026-05-01,C,18,13,17
2026-05-01,C,25,16,19
2026-05-01,C,27,16,19
2026-05-01,C,42,17,20
2026-05-01,C,55,17,21
2026-05-01,C,6,19,23
2026-05-01,C,30,19,23
2026-05-01,C,50,20,23
2026-05-01,FF,2,7,16
2026-05-01,FF,26,16,19
2026-05-01,FF,58,19,22
2026-05-01,FF,36,20,23
2026-05-01,K,7,7,16
2026-05-01,K,28,7,16
2026-05-01,K,31,8,16
2026-05-01,K,14,10,19
2026-05-01,K,5,12,15
2026-05-01,K,21,12,15
2026-05-01,K,59,12,20
2026-05-01,K,11,15,23
2026-05-01,K,66,15,23
2026-05-01,K,1,16,23
2026-05-01,K,4,16,23
2026-05-01,K,49,18,22
2026-05-01,TS,47,7,15
2026-05-01,TS,22,12,17
2026-05-01,TS,54,15,23
2026-05-01,TS,12,17,20
2026-05-02,BVR,13,7,10
2026-05-02,BVR,48,10,13
2026-05-02,BVR,51,13,16
2026-05-02,BVR,54,16,23
2026-05-02,C,32,7,11
2026-05-02,C,66,7,14
2026-05-02,C,16,10,13
2026-05-02,C,68,11,19
2026-05-02,C,37,12,15
2026-05-02,C,9,13,17
2026-05-02,C,18,13,17
2026-05-02,C,25,15,18
2026-05-02,C,30,17,23
2026-05-02,C,42,17,20
2026-05-02,C,55,18,21
2026-05-02,C,6,19,23
2026-05-02,C,50,20,23
2026-05-02,FF,19,7,16
2026-05-02,FF,2,16,23
2026-05-02,K,14,7,16
2026-05-02,K,15,7,14
2026-05-02,K,44,8,16
2026-05-02,K,5,10,14
2026-05-02,K,1,12,21
2026-05-02,K,21,12,15
2026-05-02,K,56,12,19
2026-05-02,K,31,14,23
2026-05-02,K,59,14,23
2026-05-02,K,11,15,23
2026-05-02,K,4,16,23
2026-05-02,K,0,19,22
2026-05-02,TS,52,7,16
2026-05-02,TS,60,12,15
2026-05-02,TS,33,15,23
2026-05-02,TS,10,16,20
2026-05-03,BVR,44,7,16
2026-05-03,BVR,15,16,23
2026-05-03,C,13,7,11
2026-05-03,C,47,7,14
2026-05-03,C,16,10,13
2026-05-03,C,68,11,19
2026-05-03,C,29,12,15
2026-05-03,C,37,13,16
2026-05-03,C,63,13,16
2026-05-03,C,25,15,18
2026-05-03,C,6,16,23
2026-05-03,C,57,16,20
2026-05-03,C,41,18,21
2026-05-03,C,36,19,23
2026-05-03,C,2,20,23
2026-05-03,FF,19,7,14
2026-05-03,FF,33,14,23
2026-05-03,K,7,7,16
2026-05-03,K,54,7,14
2026-05-03,K,65,8,11
2026-05-03,K,23,10,19
2026-05-03,K,64,11,14
2026-05-03,K,21,12,15
2026-05-03,K,28,12,15
2026-05-03,K,56,12,20
2026-05-03,K,52,14,23
2026-05-03,K,66,14,23
2026-05-03,K,31,15,23
2026-05-03,K,43,15,23
2026-05-03,K,67,19,22
2026-05-03,TS,4,7,16
2026-05-03,TS,38,12,20
2026-05-03,TS,62,16,19
2026-05-03,TS,17,19,23
