ds,hour,station_key,guests_count,version,required,actual,diff,status
2026-04-27,7,BVR,61,будни/утр.,1,1,0,exact
2026-04-27,7,C,61,будни/утр.,2,2,0,exact
2026-04-27,7,FF,61,будни/утр.,1,1,0,exact
2026-04-27,7,K,61,будни/утр.,3,3,0,exact
2026-04-27,7,TS,61,будни/утр.,1,1,0,exact
2026-04-27,8,BVR,65,будни/утр.,1,1,0,exact
2026-04-27,8,C,65,будни/утр.,2,2,0,exact
2026-04-27,8,FF,65,будни/утр.,1,1,0,exact
2026-04-27,8,K,65,будни/утр.,3,3,0,exact
2026-04-27,8,TS,65,будни/утр.,1,1,0,exact
2026-04-27,9,BVR,69,будни/утр.,1,1,0,exact
2026-04-27,9,C,69,будни/утр.,2,2,0,exact
2026-04-27,9,FF,69,будни/утр.,1,1,0,exact
2026-04-27,9,K,69,будни/утр.,4,4,0,exact
2026-04-27,9,TS,69,будни/утр.,1,1,0,exact
2026-04-27,10,BVR,70,будни/осн.,1,1,0,exact
2026-04-27,10,C,70,будни/осн.,2,2,0,exact
2026-04-27,10,FF,70,будни/осн.,1,1,0,exact
2026-04-27,10,K,70,будни/осн.,4,4,0,exact
2026-04-27,10,TS,70,будни/осн.,1,1,0,exact
2026-04-27,11,BVR,74,будни/осн.,1,1,0,exact
2026-04-27,11,C,74,будни/осн.,2,2,0,exact
2026-04-27,11,FF,74,будни/осн.,1,1,0,exact
2026-04-27,11,K,74,будни/осн.,5,5,0,exact
2026-04-27,11,TS,74,будни/осн.,1,1,0,exact
2026-04-27,12,BVR,80,будни/осн.,1,1,0,exact
2026-04-27,12,C,80,будни/осн.,2,2,0,exact
2026-04-27,12,FF,80,будни/осн.,1,1,0,exact
2026-04-27,12,K,80,будни/осн.,5,5,0,exact
2026-04-27,12,TS,80,будни/осн.,1,1,0,exact
2026-04-27,13,BVR,76,будни/осн.,1,1,0,exact
2026-04-27,13,C,76,будни/осн.,2,2,0,exact
2026-04-27,13,FF,76,будни/осн.,1,1,0,exact
2026-04-27,13,K,76,будни/осн.,5,5,0,exact
2026-04-27,13,TS,76,будни/осн.,1,1,0,exact
2026-04-27,14,BVR,26,будни/осн.,1,1,0,exact
2026-04-27,14,C,26,будни/осн.,1,1,0,exact
2026-04-27,14,FF,26,будни/осн.,1,1,0,exact
2026-04-27,14,K,26,будни/осн.,2,2,0,exact
2026-04-27,14,TS,26,будни/осн.,1,1,0,exact
2026-04-27,15,BVR,22,будни/осн.,1,1,0,exact
2026-04-27,15,C,22,будни/осн.,1,1,0,exact
2026-04-27,15,FF,22,будни/осн.,1,1,0,exact
2026-04-27,15,K,22,будни/осн.,2,2,0,exact
2026-04-27,15,TS,22,будни/осн.,1,1,0,exact
2026-04-27,16,BVR,25,будни/осн.,1,1,0,exact
2026-04-27,16,C,25,будни/осн.,1,1,0,exact
2026-04-27,16,FF,25,будни/осн.,1,1,0,exact
2026-04-27,16,K,25,будни/осн.,2,2,0,exact
2026-04-27,16,TS,25,будни/осн.,1,1,0,exact
2026-04-27,17,BVR,70,будни/осн.,1,1,0,exact
2026-04-27,17,C,70,будни/осн.,2,2,0,exact
2026-04-27,17,FF,70,будни/осн.,1,1,0,exact
2026-04-27,17,K,70,будни/осн.,4,4,0,exact
2026-04-27,17,TS,70,будни/осн.,1,1,0,exact
