employee_id,total_hours,working_days,shifts,avg_shift_duration,stations_used
0,3,1,1,3.0,C
1,31,5,5,6.2,"C,K,TS"
2,37,5,5,7.4,"BVR,FF,TS"
3,14,2,2,7.0,"FF,TS"
4,36,5,5,7.2,K
5,10,2,2,5.0,K
6,27,5,5,5.4,C
7,29,4,4,7.25,"BVR,K,TS"
8,22,4,4,5.5,"BVR,C,K,TS"
9,3,1,1,3.0,FF
10,3,1,1,3.0,FF
11,23,4,4,5.75,"K,TS"
12,3,1,1,3.0,TS
13,3,1,1,3.0,BVR
14,35,5,5,7.0,"BVR,C,K"
15,28,5,5,5.6,K
16,7,2,2,3.5,C
17,36,5,5,7.2,"BVR,C,K,TS"
18,3,1,1,3.0,FF
19,34,4,4,8.5,"BVR,FF,TS"
20,17,3,3,5.67,"BVR,C,FF"
21,14,4,4,3.5,K
22,3,1,1,3.0,C
23,3,1,1,3.0,K
24,3,1,1,3.0,C
25,4,1,1,4.0,C
26,3,1,1,3.0,FF
27,7,2,2,3.5,C
28,13,4,4,3.25,"C,K"
29,4,1,1,4.0,C
30,13,4,4,3.25,C
31,26,5,5,5.2,K
32,40,5,5,8.0,C
33,15,3,3,5.0,"BVR,C"
34,3,1,1,3.0,C
35,4,1,1,4.0,FF
36,16,3,3,5.33,FF
37,12,4,4,3.0,C
38,4,1,1,4.0,C
39,3,1,1,3.0,C
40,3,1,1,3.0,K
41,7,2,2,3.5,C
42,3,1,1,3.0,C
43,36,5,5,7.2,"K,TS"
44,33,5,5,6.6,"BVR,K"
45,3,1,1,3.0,C
46,3,1,1,3.0,TS
47,32,5,5,6.4,"BVR,FF"
48,3,1,1,3.0,FF
49,3,1,1,3.0,K
50,4,1,1,4.0,FF
51,3,1,1,3.0,C
52,20,3,3,6.67,K
53,3,1,1,3.0,K
54,27,5,5,5.4,"C,K"
55,3,1,1,3.0,C
56,8,1,1,8.0,K
57,3,1,1,3.0,TS
58,3,1,1,3.0,FF
59,28,5,5,5.6,"K,TS"
60,3,1,1,3.0,FF
61,3,1,1,3.0,FF
62,3,1,1,3.0,FF
63,3,1,1,3.0,C
64,4,1,1,4.0,BVR
65,3,1,1,3.0,K
66,20,3,3,6.67,"K,TS"
67,3,1,1,3.0,K
68,9,2,2,4.5,C
