ds,hour,station_key,required_labor,raw_reqlabor,guests_count,version,weekday
2026-04-27,7,BVR,1,1,61,будни/утр.,1
2026-04-27,7,C,2,2,61,будни/утр.,1
2026-04-27,7,FF,1,1,61,будни/утр.,1
2026-04-27,7,K,3,3,61,будни/утр.,1
2026-04-27,7,TS,1,1,61,будни/утр.,1
2026-04-27,8,BVR,1,1,65,будни/утр.,1
2026-04-27,8,C,2,2,65,будни/утр.,1
2026-04-27,8,FF,1,1,65,будни/утр.,1
2026-04-27,8,K,3,3,65,будни/утр.,1
2026-04-27,8,TS,1,1,65,будни/утр.,1
2026-04-27,9,BVR,1,1,69,будни/утр.,1
2026-04-27,9,C,2,2,69,будни/утр.,1
2026-04-27,9,FF,1,1,69,будни/утр.,1
2026-04-27,9,K,4,4,69,будни/утр.,1
2026-04-27,9,TS,1,1,69,будни/утр.,1
2026-04-27,10,BVR,1,1,70,будни/осн.,1
2026-04-27,10,C,2,2,70,будни/осн.,1
2026-04-27,10,FF,1,1,70,будни/осн.,1
2026-04-27,10,K,4,4,70,будни/осн.,1
2026-04-27,10,TS,1,1,70,будни/осн.,1
2026-04-27,11,BVR,1,1,74,будни/осн.,1
2026-04-27,11,C,2,2,74,будни/осн.,1
2026-04-27,11,FF,1,1,74,будни/осн.,1
2026-04-27,11,K,5,5,74,будни/осн.,1
2026-04-27,11,TS,1,1,74,будни/осн.,1
2026-04-27,12,BVR,1,1,80,будни/осн.,1
2026-04-27,12,C,2,2,80,будни/осн.,1
2026-04-27,12,FF,1,1,80,будни/осн.,1
2026-04-27,12,K,5,5,80,будни/осн.,1
2026-04-27,12,TS,1,1,80,будни/осн.,1
2026-04-27,13,BVR,1,1,76,будни/осн.,1
2026-04-27,13,C,2,2,76,будни/осн.,1
2026-04-27,13,FF,1,1,76,будни/осн.,1
2026-04-27,13,K,5,5,76,будни/осн.,1
2026-04-27,13,TS,1,1,76,будни/осн.,1
2026-04-27,14,BVR,1,1,26,будни/осн.,1
2026-04-27,14,C,1,1,26,будни/осн.,1
2026-04-27,14,FF,1,1,26,будни/осн.,1
2026-04-27,14,K,2,2,26,будни/осн.,1
2026-04-27,14,TS,1,1,26,будни/осн.,1
2026-04-27,15,BVR,1,1,22,будни/осн.,1
2026-04-27,15,C,1,1,22,будни/осн.,1
2026-04-27,15,FF,1,1,22,будни/осн.,1
2026-04-27,15,K,2,2,22,будни/осн.,1
2026-04-27,15,TS,1,1,22,будни/осн.,1
2026-04-27,16,BVR,1,1,25,будни/осн.,1
2026-04-27,16,C,1,1,25,будни/осн.,1
2026-04-27,16,FF,1,1,25,будни/осн.,1
2026-04-27,16,K,2,2,25,будни/осн.,1
2026-04-27,16,TS,1,1,25,будни/осн.,1
2026-04-27,17,BVR,1,1,70,будни/осн.,1
2026-04-27,17,C,2,2,70,будни/осн.,1
2026-04-27,17,FF,1,1,70,будни/осн.,1
2026-04-27,17,K,4,4,70,будни/осн.,1
2026-04-27,17,TS,1,1,70,будни/осн.,1
2026-04-27,18,BVR,1,1,71,будни/осн.,1
2026-04-27,18,C,2,2,71,будни/осн.,1
2026-04-27,18,FF,1,1,71,будни/осн.,1
2026-04-27,18,K,5,5,71,будни/осн.,1
2026-04-27,18,TS,1,1,71,будни/осн.,1
2026-04-27,19,BVR,1,1,71,будни/осн.,1
2026-04-27,19,C,2,2,71,будни/осн.,1
2026-04-27,19,FF,1,1,71,будни/осн.,1
2026-04-27,19,K,5,5,71,будни/осн.,1
2026-04-27,19,TS,1,1,71,будни/осн.,1
2026-04-27,20,BVR,1,1,57,будни/осн.,1
2026-04-27,20,C,2,2,57,будни/осн.,1
2026-04-27,20,FF,1,1,57,будни/осн.,1
2026-04-27,20,K,3,3,57,будни/осн.,1
2026-04-27,20,TS,1,1,57,будни/осн.,1
2026-04-27,21,BVR,1,1,34,будни/осн.,1
2026-04-27,21,C,1,1,34,будни/осн.,1
2026-04-27,21,FF,1,1,34,будни/осн.,1
2026-04-27,21,K,2,2,34,будни/осн.,1
2026-04-27,21,TS,1,1,34,будни/осн.,1
2026-04-27,22,BVR,1,1,27,будни/осн.,1
2026-04-27,22,C,1,1,27,будни/осн.,1
2026-04-27,22,FF,1,1,27,будни/осн.,1
2026-04-27,22,K,2,2,27,будни/осн.,1
2026-04-27,22,TS,1,1,27,будни/осн.,1
2026-04-28,7,BVR,1,1,25,будни/утр.,2
2026-04-28,7,C,1,1,25,будни/утр.,2
2026-04-28,7,FF,1,1,25,будни/утр.,2
2026-04-28,7,K,2,2,25,будни/утр.,2
2026-04-28,7,TS,1,1,25,будни/утр.,2
2026-04-28,8,BVR,1,1,70,будни/утр.,2
2026-04-28,8,C,2,2,70,будни/утр.,2
2026-04-28,8,FF,1,1,70,будни/утр.,2
2026-04-28,8,K,4,4,70,будни/утр.,2
2026-04-28,8,TS,1,1,70,будни/утр.,2
2026-04-28,9,BVR,1,1,71,будни/утр.,2
2026-04-28,9,C,2,2,71,будни/утр.,2
2026-04-28,9,FF,1,1,71,будни/утр.,2
2026-04-28,9,K,4,4,71,будни/утр.,2
2026-04-28,9,TS,1,1,71,будни/утр.,2
2026-04-28,10,BVR,1,1,70,будни/осн.,2
2026-04-28,10,C,2,2,70,будни/осн.,2
2026-04-28,10,FF,1,1,70,будни/осн.,2
2026-04-28,10,K,4,4,70,будни/осн.,2
2026-04-28,10,TS,1,1,70,будни/осн.,2
2026-04-28,11,BVR,1,1,39,будни/осн.,2
2026-04-28,11,C,2,2,39,будни/осн.,2
2026-04-28,11,FF,1,1,39,будни/осн.,2
2026-04-28,11,K,2,2,39,будни/осн.,2
2026-04-28,11,TS,1,1,39,будни/осн.,2
2026-04-28,12,BVR,1,1,35,будни/осн.,2
2026-04-28,12,C,1,1,35,будни/осн.,2
2026-04-28,12,FF,1,1,35,будни/осн.,2
2026-04-28,12,K,2,2,35,будни/осн.,2
2026-04-28,12,TS,1,1,35,будни/осн.,2
2026-04-28,13,BVR,1,1,27,будни/осн.,2
2026-04-28,13,C,1,1,27,будни/осн.,2
2026-04-28,13,FF,1,1,27,будни/осн.,2
2026-04-28,13,K,2,2,27,будни/осн.,2
2026-04-28,13,TS,1,1,27,будни/осн.,2
2026-04-28,14,BVR,1,1,22,будни/осн.,2
2026-04-28,14,C,1,1,22,будни/осн.,2
2026-04-28,14,FF,1,1,22,будни/осн.,2
2026-04-28,14,K,2,2,22,будни/осн.,2
2026-04-28,14,TS,1,1,22,будни/осн.,2
2026-04-28,15,BVR,1,1,24,будни/осн.,2
2026-04-28,15,C,1,1,24,будни/осн.,2
2026-04-28,15,FF,1,1,24,будни/осн.,2
2026-04-28,15,K,2,2,24,будни/осн.,2
2026-04-28,15,TS,1,1,24,будни/осн.,2
2026-04-28,16,BVR,1,1,70,будни/осн.,2
2026-04-28,16,C,2,2,70,будни/осн.,2
2026-04-28,16,FF,1,1,70,будни/осн.,2
2026-04-28,16,K,4,4,70,будни/осн.,2
2026-04-28,16,TS,1,1,70,будни/осн.,2
2026-04-28,17,BVR,1,1,70,будни/осн.,2
2026-04-28,17,C,2,2,70,будни/осн.,2
2026-04-28,17,FF,1,1,70,будни/осн.,2
2026-04-28,17,K,4,4,70,будни/осн.,2
2026-04-28,17,TS,1,1,70,будни/осн.,2
2026-04-28,18,BVR,1,1,56,будни/осн.,2
2026-04-28,18,C,2,2,56,будни/осн.,2
2026-04-28,18,FF,1,1,56,будни/осн.,2
2026-04-28,18,K,3,3,56,будни/осн.,2
2026-04-28,18,TS,1,1,56,будни/осн.,2
2026-04-28,19,BVR,1,1,38,будни/осн.,2
2026-04-28,19,C,2,2,38,будни/осн.,2
2026-04-28,19,FF,1,1,38,будни/осн.,2
2026-04-28,19,K,2,2,38,будни/осн.,2
2026-04-28,19,TS,1,1,38,будни/осн.,2
2026-04-28,20,BVR,1,1,34,будни/осн.,2
2026-04-28,20,C,1,1,34,будни/осн.,2
2026-04-28,20,FF,1,1,34,будни/осн.,2
2026-04-28,20,K,2,2,34,будни/осн.,2
2026-04-28,20,TS,1,1,34,будни/осн.,2
2026-04-28,21,BVR,1,1,27,будни/осн.,2
2026-04-28,21,C,1,1,27,будни/осн.,2
2026-04-28,21,FF,1,1,27,будни/осн.,2
2026-04-28,21,K,2,2,27,будни/осн.,2
2026-04-28,21,TS,1,1,27,будни/осн.,2
2026-04-28,22,BVR,1,1,22,будни/осн.,2
2026-04-28,22,C,1,1,22,будни/осн.,2
2026-04-28,22,FF,1,1,22,будни/осн.,2
2026-04-28,22,K,2,2,22,будни/осн.,2
2026-04-28,22,TS,1,1,22,будни/осн.,2
2026-04-29,7,BVR,1,1,71,будни/утр.,3
2026-04-29,7,C,2,2,71,будни/утр.,3
2026-04-29,7,FF,1,1,71,будни/утр.,3
2026-04-29,7,K,4,4,71,будни/утр.,3
2026-04-29,7,TS,1,1,71,будни/утр.,3
2026-04-29,8,BVR,1,1,73,будни/утр.,3
2026-04-29,8,C,2,2,73,будни/утр.,3
2026-04-29,8,FF,1,1,73,будни/утр.,3
2026-04-29,8,K,4,4,73,будни/утр.,3
2026-04-29,8,TS,1,1,73,будни/утр.,3
2026-04-29,9,BVR,1,1,74,будни/утр.,3
2026-04-29,9,C,2,2,74,будни/утр.,3
2026-04-29,9,FF,1,1,74,будни/утр.,3
2026-04-29,9,K,4,4,74,будни/утр.,3
2026-04-29,9,TS,1,1,74,будни/утр.,3
2026-04-29,10,BVR,1,1,72,будни/осн.,3
2026-04-29,10,C,2,2,72,будни/осн.,3
2026-04-29,10,FF,1,1,72,будни/осн.,3
2026-04-29,10,K,5,5,72,будни/осн.,3
2026-04-29,10,TS,1,1,72,будни/осн.,3
2026-04-29,11,BVR,1,1,34,будни/осн.,3
2026-04-29,11,C,1,1,34,будни/осн.,3
2026-04-29,11,FF,1,1,34,будни/осн.,3
2026-04-29,11,K,2,2,34,будни/осн.,3
2026-04-29,11,TS,1,1,34,будни/осн.,3
2026-04-29,12,BVR,1,1,28,будни/осн.,3
2026-04-29,12,C,1,1,28,будни/осн.,3
2026-04-29,12,FF,1,1,28,будни/осн.,3
