ds,station_key,employee_id,starttime,finishtime
2026-04-27,BVR,17,7,14
2026-04-27,BVR,14,14,23
2026-04-27,C,6,7,14
2026-04-27,C,32,7,14
2026-04-27,C,37,14,17
2026-04-27,C,41,17,21
2026-04-27,C,42,17,20
2026-04-27,C,30,20,23
2026-04-27,FF,47,7,14
2026-04-27,FF,2,14,23
2026-04-27,K,4,7,14
2026-04-27,K,31,7,14
2026-04-27,K,54,7,14
2026-04-27,K,5,9,16
2026-04-27,K,52,11,20
2026-04-27,K,44,16,23
2026-04-27,K,53,17,20
2026-04-27,K,59,17,23
2026-04-27,K,49,18,21
2026-04-27,TS,7,7,16
2026-04-27,TS,3,16,23
2026-04-28,BVR,8,7,16
2026-04-28,BVR,20,16,23
2026-04-28,C,32,7,14
2026-04-28,C,38,8,12
2026-04-28,C,37,14,17
2026-04-28,C,6,16,23
2026-04-28,C,39,17,20
2026-04-28,FF,36,7,16
2026-04-28,FF,18,16,19
2026-04-28,FF,35,19,23
2026-04-28,K,52,7,14
2026-04-28,K,59,7,15
2026-04-28,K,31,8,11
2026-04-28,K,44,8,11
2026-04-28,K,11,14,23
2026-04-28,K,28,15,18
2026-04-28,K,40,16,19
2026-04-28,K,54,16,23
2026-04-28,TS,43,7,14
2026-04-28,TS,1,14,17
2026-04-28,TS,12,17,20
2026-04-28,TS,46,20,23
2026-04-29,BVR,2,7,16
2026-04-29,BVR,47,16,23
2026-04-29,C,14,7,12
2026-04-29,C,17,7,11
2026-04-29,C,16,12,16
2026-04-29,C,37,15,18
2026-04-29,C,34,16,19
2026-04-29,C,24,18,21
2026-04-29,C,30,20,23
2026-04-29,FF,19,7,16
2026-04-29,FF,20,16,23
2026-04-29,K,28,7,11
2026-04-29,K,31,7,11
2026-04-29,K,44,7,15
2026-04-29,K,52,7,11
2026-04-29,K,11,10,17
2026-04-29,K,15,15,18
2026-04-29,K,43,15,23
2026-04-29,K,59,15,18
2026-04-29,K,54,16,23
2026-04-29,TS,8,7,14
2026-04-29,TS,1,14,23
2026-04-30,BVR,47,7,15
2026-04-30,BVR,44,15,23
2026-04-30,C,8,7,10
2026-04-30,C,32,7,16
2026-04-30,C,45,14,17
2026-04-30,C,27,16,20
2026-04-30,C,20,20,23
2026-04-30,C,33,20,23
2026-04-30,FF,19,7,16
2026-04-30,FF,3,16,23
2026-04-30,K,4,7,16
2026-04-30,K,15,7,14
2026-04-30,K,28,7,10
2026-04-30,K,66,7,10
2026-04-30,K,17,14,23
2026-04-30,K,21,14,17
2026-04-30,K,23,14,17
2026-04-30,K,31,14,23
2026-04-30,K,43,20,23
2026-04-30,K,54,20,23
2026-04-30,TS,2,7,14
2026-04-30,TS,1,14,23
2026-05-01,BVR,47,7,14
2026-05-01,BVR,14,14,23
2026-05-01,C,28,7,10
2026-05-01,C,32,7,15
2026-05-01,C,51,12,15
2026-05-01,C,22,13,16
2026-05-01,C,27,16,19
2026-05-01,C,30,19,23
2026-05-01,C,6,20,23
2026-05-01,C,33,20,23
2026-05-01,FF,2,7,16
2026-05-01,FF,26,16,19
2026-05-01,FF,58,19,22
2026-05-01,FF,36,20,23
2026-05-01,K,1,7,14
2026-05-01,K,4,7,15
2026-05-01,K,8,7,10
2026-05-01,K,5,13,16
2026-05-01,K,21,13,16
2026-05-01,K,43,14,23
2026-05-01,K,15,16,23
2026-05-01,K,7,20,23
2026-05-01,K,59,20,23
2026-05-01,TS,19,7,15
2026-05-01,TS,66,15,23
2026-05-02,BVR,19,7,15
2026-05-02,BVR,7,15,23
2026-05-02,C,32,7,16
2026-05-02,C,54,7,10
2026-05-02,C,37,12,15
2026-05-02,C,68,12,17
2026-05-02,C,25,15,19
2026-05-02,C,55,19,22
2026-05-02,C,6,20,23
2026-05-02,C,30,20,23
2026-05-02,FF,47,7,10
2026-05-02,FF,48,10,13
2026-05-02,FF,9,13,16
2026-05-02,FF,10,16,19
2026-05-02,FF,50,19,23
2026-05-02,K,4,7,16
2026-05-02,K,14,7,10
2026-05-02,K,43,7,16
2026-05-02,K,21,12,17
2026-05-02,K,56,12,20
2026-05-02,K,44,16,23
2026-05-02,K,11,20,23
2026-05-02,K,15,20,23
2026-05-02,K,31,20,23
2026-05-02,TS,17,7,15
2026-05-02,TS,59,15,23
2026-05-03,BVR,13,7,10
2026-05-03,BVR,64,10,14
2026-05-03,BVR,33,14,23
2026-05-03,C,1,7,10
2026-05-03,C,16,10,13
2026-05-03,C,29,11,15
2026-05-03,C,68,11,15
2026-05-03,C,63,13,16
2026-05-03,C,6,16,23
2026-05-03,C,0,18,21
2026-05-03,C,41,19,22
2026-05-03,FF,2,7,10
2026-05-03,FF,60,10,13
2026-05-03,FF,61,13,16
2026-05-03,FF,62,16,19
2026-05-03,FF,36,19,23
2026-05-03,K,15,7,15
2026-05-03,K,17,7,15
2026-05-03,K,21,11,14
2026-05-03,K,65,11,14
2026-05-03,K,7,14,23
2026-05-03,K,14,14,23
2026-05-03,K,4,19,22
2026-05-03,K,67,19,22
2026-05-03,TS,66,7,16
2026-05-03,TS,57,16,19
2026-05-03,TS,11,19,23
