candidate_id,employee_id,ds,weekday,station_key,starttime,finishtime,duration,shift_priority_raw,shift_penalty,station_priority,station_penalty_per_hour,station_penalty_hours,base_cost,selected,selected_final
0,0,2026-04-30,4,BVR,18,21,3,2,1,2,1,3,3184,0,False
1,0,2026-04-30,4,C,18,21,3,2,1,4,10,30,30184,0,False
2,0,2026-04-30,4,FF,18,21,3,2,1,1,0,0,184,0,False
3,0,2026-04-30,4,K,18,21,3,2,1,2,1,3,3184,0,False
4,0,2026-04-30,4,TS,18,21,3,2,1,2,1,3,3184,0,False
5,0,2026-04-30,4,BVR,19,22,3,2,1,2,1,3,3184,0,False
6,0,2026-04-30,4,C,19,22,3,2,1,4,10,30,30184,0,False
7,0,2026-04-30,4,FF,19,22,3,2,1,1,0,0,184,0,False
8,0,2026-04-30,4,K,19,22,3,2,1,2,1,3,3184,0,False
9,0,2026-04-30,4,TS,19,22,3,2,1,2,1,3,3184,0,False
10,0,2026-04-30,4,BVR,18,22,4,3,2,2,1,4,4222,0,False
11,0,2026-04-30,4,C,18,22,4,3,2,4,10,40,40222,0,False
12,0,2026-04-30,4,FF,18,22,4,3,2,1,0,0,222,0,False
13,0,2026-04-30,4,K,18,22,4,3,2,2,1,4,4222,0,False
14,0,2026-04-30,4,TS,18,22,4,3,2,2,1,4,4222,0,False
15,0,2026-05-01,5,BVR,18,21,3,2,1,2,1,3,3184,0,False
16,0,2026-05-01,5,C,18,21,3,2,1,4,10,30,30184,0,False
17,0,2026-05-01,5,FF,18,21,3,2,1,1,0,0,184,0,False
18,0,2026-05-01,5,K,18,21,3,2,1,2,1,3,3184,0,False
19,0,2026-05-01,5,TS,18,21,3,2,1,2,1,3,3184,0,False
20,0,2026-05-01,5,BVR,19,22,3,2,1,2,1,3,3184,0,False
21,0,2026-05-01,5,C,19,22,3,2,1,4,10,30,30184,0,False
22,0,2026-05-01,5,FF,19,22,3,2,1,1,0,0,184,0,False
23,0,2026-05-01,5,K,19,22,3,2,1,2,1,3,3184,0,False
24,0,2026-05-01,5,TS,19,22,3,2,1,2,1,3,3184,0,False
25,0,2026-05-01,5,BVR,18,22,4,3,2,2,1,4,4222,0,False
26,0,2026-05-01,5,C,18,22,4,3,2,4,10,40,40222,0,False
27,0,2026-05-01,5,FF,18,22,4,3,2,1,0,0,222,0,False
28,0,2026-05-01,5,K,18,22,4,3,2,2,1,4,4222,0,False
29,0,2026-05-01,5,TS,18,22,4,3,2,2,1,4,4222,0,False
30,0,2026-05-02,6,BVR,18,21,3,2,1,2,1,3,3184,0,False
31,0,2026-05-02,6,C,18,21,3,2,1,4,10,30,30184,0,False
32,0,2026-05-02,6,FF,18,21,3,2,1,1,0,0,184,0,False
33,0,2026-05-02,6,K,18,21,3,2,1,2,1,3,3184,0,False
34,0,2026-05-02,6,TS,18,21,3,2,1,2,1,3,3184,0,False
35,0,2026-05-02,6,BVR,19,22,3,2,1,2,1,3,3184,0,False
36,0,2026-05-02,6,C,19,22,3,2,1,4,10,30,30184,0,False
37,0,2026-05-02,6,FF,19,22,3,2,1,1,0,0,184,0,False
38,0,2026-05-02,6,K,19,22,3,2,1,2,1,3,3184,0,False
39,0,2026-05-02,6,TS,19,22,3,2,1,2,1,3,3184,0,False
40,0,2026-05-02,6,BVR,18,22,4,3,2,2,1,4,4222,0,False
41,0,2026-05-02,6,C,18,22,4,3,2,4,10,40,40222,0,False
42,0,2026-05-02,6,FF,18,22,4,3,2,1,0,0,222,0,False
43,0,2026-05-02,6,K,18,22,4,3,2,2,1,4,4222,0,False
44,0,2026-05-02,6,TS,18,22,4,3,2,2,1,4,4222,0,False
45,0,2026-05-03,7,BVR,17,20,3,2,1,2,1,3,3184,0,False
46,0,2026-05-03,7,C,17,20,3,2,1,4,10,30,30184,0,False
47,0,2026-05-03,7,FF,17,20,3,2,1,1,0,0,184,0,False
48,0,2026-05-03,7,K,17,20,3,2,1,2,1,3,3184,0,False
49,0,2026-05-03,7,TS,17,20,3,2,1,2,1,3,3184,1,True
50,0,2026-05-03,7,BVR,18,21,3,2,1,2,1,3,3184,0,False
51,0,2026-05-03,7,C,18,21,3,2,1,4,10,30,30184,0,False
52,0,2026-05-03,7,FF,18,21,3,2,1,1,0,0,184,0,False
53,0,2026-05-03,7,K,18,21,3,2,1,2,1,3,3184,0,False
54,0,2026-05-03,7,TS,18,21,3,2,1,2,1,3,3184,0,False
55,0,2026-05-03,7,BVR,17,21,4,3,2,2,1,4,4222,0,False
56,0,2026-05-03,7,C,17,21,4,3,2,4,10,40,40222,0,False
57,0,2026-05-03,7,FF,17,21,4,3,2,1,0,0,222,0,False
58,0,2026-05-03,7,K,17,21,4,3,2,2,1,4,4222,0,False
59,0,2026-05-03,7,TS,17,21,4,3,2,2,1,4,4222,0,False
60,1,2026-04-27,1,BVR,7,10,3,2,1,2,1,3,3184,0,False
61,1,2026-04-27,1,C,7,10,3,2,1,4,10,30,30184,0,False
62,1,2026-04-27,1,FF,7,10,3,2,1,2,1,3,3184,0,False
63,1,2026-04-27,1,K,7,10,3,2,1,1,0,0,184,0,False
64,1,2026-04-27,1,TS,7,10,3,2,1,2,1,3,3184,0,False
65,1,2026-04-27,1,BVR,8,11,3,2,1,2,1,3,3184,0,False
66,1,2026-04-27,1,C,8,11,3,2,1,4,10,30,30184,0,False
67,1,2026-04-27,1,FF,8,11,3,2,1,2,1,3,3184,0,False
68,1,2026-04-27,1,K,8,11,3,2,1,1,0,0,184,0,False
69,1,2026-04-27,1,TS,8,11,3,2,1,2,1,3,3184,0,False
70,1,2026-04-27,1,BVR,9,12,3,2,1,2,1,3,3184,0,False
71,1,2026-04-27,1,C,9,12,3,2,1,4,10,30,30184,0,False
72,1,2026-04-27,1,FF,9,12,3,2,1,2,1,3,3184,0,False
73,1,2026-04-27,1,K,9,12,3,2,1,1,0,0,184,0,False
74,1,2026-04-27,1,TS,9,12,3,2,1,2,1,3,3184,0,False
75,1,2026-04-27,1,BVR,10,13,3,2,1,2,1,3,3184,0,False
76,1,2026-04-27,1,C,10,13,3,2,1,4,10,30,30184,0,False
77,1,2026-04-27,1,FF,10,13,3,2,1,2,1,3,3184,0,False
78,1,2026-04-27,1,K,10,13,3,2,1,1,0,0,184,0,False
79,1,2026-04-27,1,TS,10,13,3,2,1,2,1,3,3184,0,False
80,1,2026-04-27,1,BVR,11,14,3,2,1,2,1,3,3184,0,False
81,1,2026-04-27,1,C,11,14,3,2,1,4,10,30,30184,0,False
82,1,2026-04-27,1,FF,11,14,3,2,1,2,1,3,3184,0,False
83,1,2026-04-27,1,K,11,14,3,2,1,1,0,0,184,0,False
84,1,2026-04-27,1,TS,11,14,3,2,1,2,1,3,3184,0,False
85,1,2026-04-27,1,BVR,12,15,3,2,1,2,1,3,3184,0,False
86,1,2026-04-27,1,C,12,15,3,2,1,4,10,30,30184,0,False
87,1,2026-04-27,1,FF,12,15,3,2,1,2,1,3,3184,0,False
88,1,2026-04-27,1,K,12,15,3,2,1,1,0,0,184,0,False
89,1,2026-04-27,1,TS,12,15,3,2,1,2,1,3,3184,0,False
90,1,2026-04-27,1,BVR,13,16,3,2,1,2,1,3,3184,0,False
91,1,2026-04-27,1,C,13,16,3,2,1,4,10,30,30184,0,False
92,1,2026-04-27,1,FF,13,16,3,2,1,2,1,3,3184,0,False
93,1,2026-04-27,1,K,13,16,3,2,1,1,0,0,184,0,False
94,1,2026-04-27,1,TS,13,16,3,2,1,2,1,3,3184,0,False
95,1,2026-04-27,1,BVR,14,17,3,2,1,2,1,3,3184,0,False
96,1,2026-04-27,1,C,14,17,3,2,1,4,10,30,30184,0,False
97,1,2026-04-27,1,FF,14,17,3,2,1,2,1,3,3184,0,False
98,1,2026-04-27,1,K,14,17,3,2,1,1,0,0,184,0,False
99,1,2026-04-27,1,TS,14,17,3,2,1,2,1,3,3184,0,False
100,1,2026-04-27,1,BVR,15,18,3,2,1,2,1,3,3184,0,False
101,1,2026-04-27,1,C,15,18,3,2,1,4,10,30,30184,0,False
102,1,2026-04-27,1,FF,15,18,3,2,1,2,1,3,3184,0,False
103,1,2026-04-27,1,K,15,18,3,2,1,1,0,0,184,0,False
104,1,2026-04-27,1,TS,15,18,3,2,1,2,1,3,3184,0,False
105,1,2026-04-27,1,BVR,16,19,3,2,1,2,1,3,3184,0,False
106,1,2026-04-27,1,C,16,19,3,2,1,4,10,30,30184,0,False
107,1,2026-04-27,1,FF,16,19,3,2,1,2,1,3,3184,0,False
108,1,2026-04-27,1,K,16,19,3,2,1,1,0,0,184,0,False
109,1,2026-04-27,1,TS,16,19,3,2,1,2,1,3,3184,0,False
110,1,2026-04-27,1,BVR,17,20,3,2,1,2,1,3,3184,0,False
111,1,2026-04-27,1,C,17,20,3,2,1,4,10,30,30184,0,False
112,1,2026-04-27,1,FF,17,20,3,2,1,2,1,3,3184,0,False
113,1,2026-04-27,1,K,17,20,3,2,1,1,0,0,184,0,False
114,1,2026-04-27,1,TS,17,20,3,2,1,2,1,3,3184,0,False
115,1,2026-04-27,1,BVR,18,21,3,2,1,2,1,3,3184,0,False
116,1,2026-04-27,1,C,18,21,3,2,1,4,10,30,30184,0,False
117,1,2026-04-27,1,FF,18,21,3,2,1,2,1,3,3184,0,False
118,1,2026-04-27,1,K,18,21,3,2,1,1,0,0,184,0,False
119,1,2026-04-27,1,TS,18,21,3,2,1,2,1,3,3184,0,False
120,1,2026-04-27,1,BVR,19,22,3,2,1,2,1,3,3184,0,False
121,1,2026-04-27,1,C,19,22,3,2,1,4,10,30,30184,0,False
122,1,2026-04-27,1,FF,19,22,3,2,1,2,1,3,3184,0,False
123,1,2026-04-27,1,K,19,22,3,2,1,1,0,0,184,0,False
124,1,2026-04-27,1,TS,19,22,3,2,1,2,1,3,3184,0,False
125,1,2026-04-27,1,BVR,20,23,3,2,1,2,1,3,3184,0,False
126,1,2026-04-27,1,C,20,23,3,2,1,4,10,30,30184,0,False
127,1,2026-04-27,1,FF,20,23,3,2,1,2,1,3,3184,0,False
128,1,2026-04-27,1,K,20,23,3,2,1,1,0,0,184,0,False
129,1,2026-04-27,1,TS,20,23,3,2,1,2,1,3,3184,0,False
130,1,2026-04-27,1,BVR,7,11,4,3,2,2,1,4,4222,0,False
131,1,2026-04-27,1,C,7,11,4,3,2,4,10,40,40222,0,False
132,1,2026-04-27,1,FF,7,11,4,3,2,2,1,4,4222,0,False
133,1,2026-04-27,1,K,7,11,4,3,2,1,0,0,222,0,False
134,1,2026-04-27,1,TS,7,11,4,3,2,2,1,4,4222,0,False
135,1,2026-04-27,1,BVR,8,12,4,3,2,2,1,4,4222,0,False
136,1,2026-04-27,1,C,8,12,4,3,2,4,10,40,40222,0,False
