ds,hour,station_key,guests_count,version,required,actual,diff,status
2026-04-27,7,BVR,60,будни/утр.,1,1,0,exact
2026-04-27,7,C,60,будни/утр.,2,2,0,exact
2026-04-27,7,FF,60,будни/утр.,1,1,0,exact
2026-04-27,7,K,60,будни/утр.,3,3,0,exact
2026-04-27,7,TS,60,будни/утр.,1,1,0,exact
2026-04-27,8,BVR,64,будни/утр.,1,1,0,exact
2026-04-27,8,C,64,будни/утр.,2,2,0,exact
2026-04-27,8,FF,64,будни/утр.,1,1,0,exact
2026-04-27,8,K,64,будни/утр.,3,3,0,exact
2026-04-27,8,TS,64,будни/утр.,1,1,0,exact
2026-04-27,9,BVR,68,будни/утр.,1,1,0,exact
2026-04-27,9,C,68,будни/утр.,2,2,0,exact
2026-04-27,9,FF,68,будни/утр.,1,1,0,exact
2026-04-27,9,K,68,будни/утр.,4,4,0,exact
2026-04-27,9,TS,68,будни/утр.,1,1,0,exact
2026-04-27,10,BVR,70,будни/осн.,1,1,0,exact
2026-04-27,10,C,70,будни/осн.,2,2,0,exact
2026-04-27,10,FF,70,будни/осн.,1,1,0,exact
2026-04-27,10,K,70,будни/осн.,4,4,0,exact
2026-04-27,10,TS,70,будни/осн.,1,1,0,exact
2026-04-27,11,BVR,74,будни/осн.,1,1,0,exact
2026-04-27,11,C,74,будни/осн.,2,2,0,exact
2026-04-27,11,FF,74,будни/осн.,1,1,0,exact
2026-04-27,11,K,74,будни/осн.,5,5,0,exact
2026-04-27,11,TS,74,будни/осн.,1,1,0,exact
2026-04-27,12,BVR,80,будни/осн.,1,1,0,exact
2026-04-27,12,C,80,будни/осн.,2,2,0,exact
2026-04-27,12,FF,80,будни/осн.,1,1,0,exact
2026-04-27,12,K,80,будни/осн.,5,5,0,exact
2026-04-27,12,TS,80,будни/осн.,1,1,0,exact
2026-04-27,13,BVR,34,будни/осн.,1,1,0,exact
2026-04-27,13,C,34,будни/осн.,1,1,0,exact
2026-04-27,13,FF,34,будни/осн.,1,1,0,exact
2026-04-27,13,K,34,будни/осн.,2,2,0,exact
2026-04-27,13,TS,34,будни/осн.,1,1,0,exact
2026-04-27,14,BVR,26,будни/осн.,1,1,0,exact
2026-04-27,14,C,26,будни/осн.,1,1,0,exact
2026-04-27,14,FF,26,будни/осн.,1,1,0,exact
2026-04-27,14,K,26,будни/осн.,2,2,0,exact
2026-04-27,14,TS,26,будни/осн.,1,1,0,exact
2026-04-27,15,BVR,21,будни/осн.,1,1,0,exact
2026-04-27,15,C,21,будни/осн.,1,1,0,exact
2026-04-27,15,FF,21,будни/осн.,1,1,0,exact
2026-04-27,15,K,21,будни/осн.,2,2,0,exact
2026-04-27,15,TS,21,будни/осн.,1,1,0,exact
2026-04-27,16,BVR,64,будни/осн.,1,1,0,exact
2026-04-27,16,C,64,будни/осн.,2,2,0,exact
2026-04-27,16,FF,64,будни/осн.,1,1,0,exact
2026-04-27,16,K,64,будни/осн.,4,4,0,exact
2026-04-27,16,TS,64,будни/осн.,1,1,0,exact
2026-04-27,17,BVR,68,будни/осн.,1,1,0,exact
2026-04-27,17,C,68,будни/осн.,2,2,0,exact
2026-04-27,17,FF,68,будни/осн.,1,1,0,exact
2026-04-27,17,K,68,будни/осн.,4,4,0,exact
2026-04-27,17,TS,68,будни/осн.,1,1,0,exact
2026-04-27,18,BVR,70,будни/осн.,1,1,0,exact
2026-04-27,18,C,70,будни/осн.,2,2,0,exact
2026-04-27,18,FF,70,будни/осн.,1,1,0,exact
2026-04-27,18,K,70,будни/осн.,4,4,0,exact
2026-04-27,18,TS,70,будни/осн.,1,1,0,exact
2026-04-27,19,BVR,72,будни/осн.,1,1,0,exact
2026-04-27,19,C,72,будни/осн.,2,2,0,exact
2026-04-27,19,FF,72,будни/осн.,1,1,0,exact
2026-04-27,19,K,72,будни/осн.,5,5,0,exact
2026-04-27,19,TS,72,будни/осн.,1,1,0,exact
2026-04-27,20,BVR,76,будни/осн.,1,1,0,exact
2026-04-27,20,C,76,будни/осн.,2,2,0,exact
2026-04-27,20,FF,76,будни/осн.,1,1,0,exact
2026-04-27,20,K,76,будни/осн.,5,5,0,exact
2026-04-27,20,TS,76,будни/осн.,1,1,0,exact
2026-04-27,21,BVR,33,будни/осн.,1,1,0,exact
2026-04-27,21,C,33,будни/осн.,1,2,1,over
2026-04-27,21,FF,33,будни/осн.,1,1,0,exact
2026-04-27,21,K,33,будни/осн.,2,2,0,exact
2026-04-27,21,TS,33,будни/осн.,1,1,0,exact
2026-04-27,22,BVR,26,будни/осн.,1,1,0,exact
2026-04-27,22,C,26,будни/осн.,1,1,0,exact
2026-04-27,22,FF,26,будни/осн.,1,1,0,exact
2026-04-27,22,K,26,будни/осн.,2,2,0,exact
2026-04-27,22,TS,26,будни/осн.,1,1,0,exact
