employee_id,total_hours,working_days,shifts,avg_shift_duration,stations_used
0,3,1,1,3.0,TS
1,26,5,5,5.2,"C,K,TS"
2,38,5,5,7.6,"BVR,C,FF"
3,27,5,5,5.4,"BVR,C,FF,TS"
4,22,5,5,4.4,K
5,10,3,3,3.33,K
6,27,5,5,5.4,C
7,24,4,4,6.0,"BVR,C,K"
8,35,5,5,7.0,"BVR,K,TS"
9,3,1,1,3.0,TS
10,4,1,1,4.0,BVR
11,31,5,5,6.2,K
12,3,1,1,3.0,K
13,7,2,2,3.5,C
14,40,5,5,8.0,"BVR,K"
15,32,5,5,6.4,"C,K"
16,7,2,2,3.5,C
17,28,5,5,5.6,K
18,3,1,1,3.0,BVR
19,37,5,5,7.4,"BVR,FF,TS"
20,14,2,2,7.0,"FF,TS"
21,3,1,1,3.0,K
22,4,1,1,4.0,C
23,5,1,1,5.0,K
24,3,1,1,3.0,C
25,7,2,2,3.5,C
26,3,1,1,3.0,FF
27,12,4,4,3.0,C
28,24,4,4,6.0,"BVR,K"
29,4,1,1,4.0,C
30,14,4,4,3.5,C
31,30,5,5,6.0,"K,TS"
32,40,5,5,8.0,C
33,15,3,3,5.0,"C,FF,TS"
34,4,1,1,4.0,C
35,3,1,1,3.0,BVR
36,9,3,3,3.0,"C,FF"
37,12,4,4,3.0,C
38,7,1,1,7.0,BVR
39,3,1,1,3.0,C
40,3,1,1,3.0,K
41,3,1,1,3.0,C
42,3,1,1,3.0,C
43,27,5,5,5.4,"C,K"
44,32,5,5,6.4,"BVR,C,K"
45,4,1,1,4.0,C
46,3,1,1,3.0,BVR
47,38,5,5,7.6,"FF,TS"
48,3,1,1,3.0,TS
49,3,1,1,3.0,K
50,21,4,4,5.25,"BVR,C,FF,TS"
51,3,1,1,3.0,C
52,28,5,5,5.6,"BVR,K"
53,3,1,1,3.0,K
54,34,5,5,6.8,"K,TS"
55,3,1,1,3.0,BVR
56,9,2,2,4.5,K
57,4,1,1,4.0,C
58,3,1,1,3.0,FF
59,33,5,5,6.6,K
60,4,1,1,4.0,FF
61,3,1,1,3.0,TS
62,4,1,1,4.0,FF
63,3,1,1,3.0,C
64,3,1,1,3.0,TS
65,4,1,1,4.0,K
66,23,5,5,4.6,"K,TS"
67,4,1,1,4.0,K
68,9,2,2,4.5,C
