ds,hour,station_key,guests_count,version,required,actual,diff,status
2026-04-27,7,BVR,39,будни/утр.,1,1,0,exact
2026-04-27,7,C,39,будни/утр.,2,2,0,exact
2026-04-27,7,FF,39,будни/утр.,1,1,0,exact
2026-04-27,7,K,39,будни/утр.,2,2,0,exact
2026-04-27,7,TS,39,будни/утр.,1,1,0,exact
2026-04-27,8,BVR,54,будни/утр.,1,1,0,exact
2026-04-27,8,C,54,будни/утр.,2,2,0,exact
2026-04-27,8,FF,54,будни/утр.,1,1,0,exact
2026-04-27,8,K,54,будни/утр.,3,3,0,exact
2026-04-27,8,TS,54,будни/утр.,1,1,0,exact
2026-04-27,9,BVR,58,будни/утр.,1,1,0,exact
2026-04-27,9,C,58,будни/утр.,2,2,0,exact
2026-04-27,9,FF,58,будни/утр.,1,1,0,exact
2026-04-27,9,K,58,будни/утр.,3,3,0,exact
2026-04-27,9,TS,58,будни/утр.,1,1,0,exact
2026-04-27,10,BVR,54,будни/осн.,1,1,0,exact
2026-04-27,10,C,54,будни/осн.,2,2,0,exact
2026-04-27,10,FF,54,будни/осн.,1,1,0,exact
2026-04-27,10,K,54,будни/осн.,3,3,0,exact
2026-04-27,10,TS,54,будни/осн.,1,1,0,exact
2026-04-27,11,BVR,64,будни/осн.,1,1,0,exact
2026-04-27,11,C,64,будни/осн.,2,2,0,exact
2026-04-27,11,FF,64,будни/осн.,1,1,0,exact
2026-04-27,11,K,64,будни/осн.,4,4,0,exact
2026-04-27,11,TS,64,будни/осн.,1,1,0,exact
2026-04-27,12,BVR,114,будни/осн.,1,1,0,exact
2026-04-27,12,C,114,будни/осн.,3,3,0,exact
2026-04-27,12,FF,114,будни/осн.,1,1,0,exact
2026-04-27,12,K,114,будни/осн.,5,5,0,exact
2026-04-27,12,TS,114,будни/осн.,1,1,0,exact
2026-04-27,13,BVR,122,будни/осн.,1,1,0,exact
2026-04-27,13,C,122,будни/осн.,3,3,0,exact
2026-04-27,13,FF,122,будни/осн.,1,1,0,exact
2026-04-27,13,K,122,будни/осн.,5,5,0,exact
2026-04-27,13,TS,122,будни/осн.,1,1,0,exact
2026-04-27,14,BVR,113,будни/осн.,1,1,0,exact
2026-04-27,14,C,113,будни/осн.,3,3,0,exact
2026-04-27,14,FF,113,будни/осн.,1,1,0,exact
2026-04-27,14,K,113,будни/осн.,5,5,0,exact
2026-04-27,14,TS,113,будни/осн.,1,1,0,exact
2026-04-27,15,BVR,106,будни/осн.,1,1,0,exact
2026-04-27,15,C,106,будни/осн.,3,3,0,exact
2026-04-27,15,FF,106,будни/осн.,1,1,0,exact
2026-04-27,15,K,106,будни/осн.,5,5,0,exact
2026-04-27,15,TS,106,будни/осн.,1,1,0,exact
2026-04-27,16,BVR,99,будни/осн.,1,1,0,exact
2026-04-27,16,C,99,будни/осн.,2,2,0,exact
2026-04-27,16,FF,99,будни/осн.,1,1,0,exact
2026-04-27,16,K,99,будни/осн.,5,5,0,exact
2026-04-27,16,TS,99,будни/осн.,1,1,0,exact
2026-04-27,17,BVR,102,будни/осн.,1,1,0,exact
2026-04-27,17,C,102,будни/осн.,2,2,0,exact
2026-04-27,17,FF,102,будни/осн.,1,1,0,exact
2026-04-27,17,K,102,будни/осн.,5,5,0,exact
2026-04-27,17,TS,102,будни/осн.,1,1,0,exact
2026-04-27,18,BVR,107,будни/осн.,1,1,0,exact
2026-04-27,18,C,107,будни/осн.,3,3,0,exact
2026-04-27,18,FF,107,будни/осн.,1,1,0,exact
2026-04-27,18,K,107,будни/осн.,5,5,0,exact
2026-04-27,18,TS,107,будни/осн.,1,1,0,exact
