employee_id,total_hours,working_days,shifts,avg_shift_duration,stations_used
0,3,1,1,3.0,TS
1,35,4,4,8.75,"BVR,K"
2,39,5,5,7.8,"C,FF,TS"
3,24,4,4,6.0,"C,FF,TS"
4,29,5,5,5.8,"K,TS"
5,12,4,4,3.0,K
6,32,5,5,6.4,C
7,35,5,5,7.0,K
8,35,5,5,7.0,"BVR,K,TS"
9,3,1,1,3.0,TS
10,3,1,1,3.0,FF
11,40,5,5,8.0,K
12,3,1,1,3.0,K
13,6,2,2,3.0,C
14,29,5,5,5.8,"BVR,C,K"
15,39,5,5,7.8,K
16,10,3,3,3.33,C
17,34,5,5,6.8,"K,TS"
18,14,3,3,4.67,"C,FF"
19,40,5,5,8.0,"BVR,FF"
20,28,4,4,7.0,"BVR,FF"
21,8,2,2,4.0,"C,K"
22,3,1,1,3.0,C
23,18,2,2,9.0,K
24,3,1,1,3.0,C
25,6,2,2,3.0,C
26,3,1,1,3.0,FF
27,17,5,5,3.4,C
28,30,4,4,7.5,"K,TS"
29,3,1,1,3.0,C
30,20,4,4,5.0,C
31,40,5,5,8.0,"K,TS"
32,40,5,5,8.0,C
33,21,5,5,4.2,"BVR,C"
34,7,2,2,3.5,C
35,3,1,1,3.0,C
36,10,3,3,3.33,FF
37,12,4,4,3.0,C
38,4,1,1,4.0,C
39,3,1,1,3.0,C
40,3,1,1,3.0,K
41,3,1,1,3.0,C
42,6,2,2,3.0,C
43,33,5,5,6.6,"K,TS"
44,34,5,5,6.8,"K,TS"
45,4,1,1,4.0,C
46,3,1,1,3.0,C
47,37,5,5,7.4,"BVR,C,FF"
48,3,1,1,3.0,FF
49,3,1,1,3.0,K
50,18,3,3,6.0,"FF,TS"
51,7,2,2,3.5,C
52,40,5,5,8.0,K
53,3,1,1,3.0,K
54,28,4,4,7.0,"BVR,K,TS"
55,8,2,2,4.0,C
56,7,1,1,7.0,K
57,4,1,1,4.0,C
58,3,1,1,3.0,FF
59,38,5,5,7.6,"BVR,K"
60,3,1,1,3.0,C
61,4,1,1,4.0,C
62,4,1,1,4.0,FF
63,4,1,1,4.0,C
64,4,1,1,4.0,TS
65,3,1,1,3.0,C
66,39,5,5,7.8,"BVR,K,TS"
67,3,1,1,3.0,K
68,15,2,2,7.5,C
