ds,hour,station_key,required_labor,raw_reqlabor,guests_count,version,weekday
2026-04-27,7,BVR,1,1,39,будни/утр.,1
2026-04-27,7,C,2,2,39,будни/утр.,1
2026-04-27,7,FF,1,1,39,будни/утр.,1
2026-04-27,7,K,2,2,39,будни/утр.,1
2026-04-27,7,TS,1,1,39,будни/утр.,1
2026-04-27,8,BVR,1,1,54,будни/утр.,1
2026-04-27,8,C,2,2,54,будни/утр.,1
2026-04-27,8,FF,1,1,54,будни/утр.,1
2026-04-27,8,K,3,3,54,будни/утр.,1
2026-04-27,8,TS,1,1,54,будни/утр.,1
2026-04-27,9,BVR,1,1,58,будни/утр.,1
2026-04-27,9,C,2,2,58,будни/утр.,1
2026-04-27,9,FF,1,1,58,будни/утр.,1
2026-04-27,9,K,3,3,58,будни/утр.,1
2026-04-27,9,TS,1,1,58,будни/утр.,1
2026-04-27,10,BVR,1,1,54,будни/осн.,1
2026-04-27,10,C,2,2,54,будни/осн.,1
2026-04-27,10,FF,1,1,54,будни/осн.,1
2026-04-27,10,K,3,3,54,будни/осн.,1
2026-04-27,10,TS,1,1,54,будни/осн.,1
2026-04-27,11,BVR,1,1,64,будни/осн.,1
2026-04-27,11,C,2,2,64,будни/осн.,1
2026-04-27,11,FF,1,1,64,будни/осн.,1
2026-04-27,11,K,4,4,64,будни/осн.,1
2026-04-27,11,TS,1,1,64,будни/осн.,1
2026-04-27,12,BVR,1,1,114,будни/осн.,1
2026-04-27,12,C,3,3,114,будни/осн.,1
2026-04-27,12,FF,1,1,114,будни/осн.,1
2026-04-27,12,K,5,5,114,будни/осн.,1
2026-04-27,12,TS,1,1,114,будни/осн.,1
2026-04-27,13,BVR,1,1,122,будни/осн.,1
2026-04-27,13,C,3,3,122,будни/осн.,1
2026-04-27,13,FF,1,1,122,будни/осн.,1
2026-04-27,13,K,5,5,122,будни/осн.,1
2026-04-27,13,TS,1,1,122,будни/осн.,1
2026-04-27,14,BVR,1,1,113,будни/осн.,1
2026-04-27,14,C,3,3,113,будни/осн.,1
2026-04-27,14,FF,1,1,113,будни/осн.,1
2026-04-27,14,K,5,5,113,будни/осн.,1
2026-04-27,14,TS,1,1,113,будни/осн.,1
2026-04-27,15,BVR,1,1,106,будни/осн.,1
2026-04-27,15,C,3,3,106,будни/осн.,1
2026-04-27,15,FF,1,1,106,будни/осн.,1
2026-04-27,15,K,5,5,106,будни/осн.,1
2026-04-27,15,TS,1,1,106,будни/осн.,1
2026-04-27,16,BVR,1,1,99,будни/осн.,1
2026-04-27,16,C,2,2,99,будни/осн.,1
2026-04-27,16,FF,1,1,99,будни/осн.,1
2026-04-27,16,K,5,5,99,будни/осн.,1
2026-04-27,16,TS,1,1,99,будни/осн.,1
2026-04-27,17,BVR,1,1,102,будни/осн.,1
2026-04-27,17,C,2,2,102,будни/осн.,1
2026-04-27,17,FF,1,1,102,будни/осн.,1
2026-04-27,17,K,5,5,102,будни/осн.,1
2026-04-27,17,TS,1,1,102,будни/осн.,1
2026-04-27,18,BVR,1,1,107,будни/осн.,1
2026-04-27,18,C,3,3,107,будни/осн.,1
2026-04-27,18,FF,1,1,107,будни/осн.,1
2026-04-27,18,K,5,5,107,будни/осн.,1
2026-04-27,18,TS,1,1,107,будни/осн.,1
2026-04-27,19,BVR,1,1,100,будни/осн.,1
2026-04-27,19,C,2,2,100,будни/осн.,1
2026-04-27,19,FF,1,1,100,будни/осн.,1
2026-04-27,19,K,5,5,100,будни/осн.,1
2026-04-27,19,TS,1,1,100,будни/осн.,1
2026-04-27,20,BVR,1,1,87,будни/осн.,1
2026-04-27,20,C,2,2,87,будни/осн.,1
2026-04-27,20,FF,1,1,87,будни/осн.,1
2026-04-27,20,K,5,5,87,будни/осн.,1
2026-04-27,20,TS,1,1,87,будни/осн.,1
2026-04-27,21,BVR,1,1,74,будни/осн.,1
2026-04-27,21,C,2,2,74,будни/осн.,1
2026-04-27,21,FF,1,1,74,будни/осн.,1
2026-04-27,21,K,5,5,74,будни/осн.,1
2026-04-27,21,TS,1,1,74,будни/осн.,1
2026-04-27,22,BVR,1,1,62,будни/осн.,1
2026-04-27,22,C,2,2,62,будни/осн.,1
2026-04-27,22,FF,1,1,62,будни/осн.,1
2026-04-27,22,K,4,4,62,будни/осн.,1
2026-04-27,22,TS,1,1,62,будни/осн.,1
2026-04-28,7,BVR,1,1,47,будни/утр.,2
2026-04-28,7,C,2,2,47,будни/утр.,2
2026-04-28,7,FF,1,1,47,будни/утр.,2
2026-04-28,7,K,3,3,47,будни/утр.,2
2026-04-28,7,TS,1,1,47,будни/утр.,2
2026-04-28,8,BVR,1,1,59,будни/утр.,2
2026-04-28,8,C,2,2,59,будни/утр.,2
2026-04-28,8,FF,1,1,59,будни/утр.,2
2026-04-28,8,K,3,3,59,будни/утр.,2
2026-04-28,8,TS,1,1,59,будни/утр.,2
2026-04-28,9,BVR,1,1,62,будни/утр.,2
2026-04-28,9,C,2,2,62,будни/утр.,2
2026-04-28,9,FF,1,1,62,будни/утр.,2
2026-04-28,9,K,3,3,62,будни/утр.,2
2026-04-28,9,TS,1,1,62,будни/утр.,2
2026-04-28,10,BVR,1,1,55,будни/осн.,2
2026-04-28,10,C,2,2,55,будни/осн.,2
2026-04-28,10,FF,1,1,55,будни/осн.,2
2026-04-28,10,K,3,3,55,будни/осн.,2
2026-04-28,10,TS,1,1,55,будни/осн.,2
2026-04-28,11,BVR,1,1,64,будни/осн.,2
2026-04-28,11,C,2,2,64,будни/осн.,2
2026-04-28,11,FF,1,1,64,будни/осн.,2
2026-04-28,11,K,4,4,64,будни/осн.,2
2026-04-28,11,TS,1,1,64,будни/осн.,2
2026-04-28,12,BVR,1,1,114,будни/осн.,2
2026-04-28,12,C,3,3,114,будни/осн.,2
2026-04-28,12,FF,1,1,114,будни/осн.,2
2026-04-28,12,K,5,5,114,будни/осн.,2
